"","GID9519897","GID9519899","GID9519906","GID9519907","GID9519911","GID9519912","GID9519913","GID9519929","GID9519931","GID9527519","GID9527522","GID9527523","GID9527528","GID9527529","GID9527621","GID9527622","GID9527626","GID9527633","GID9527639","GID9527641","GID9527642","GID9527643","GID9527654","GID9527655","GID9527713","GID9527742","GID9527744","GID9527777","GID9527783","GID9527787","GID9527804","GID9527810","GID9527864","GID9527866","GID9527870","GID9527876","GID9527898","GID9527899","GID9527901","GID9527904","GID9527907","GID9527929","GID9527930","GID9528090","GID9528092","GID9528093","GID9528095","GID9528096","GID9528097","GID9528098","GID9528099","GID9528100","GID9528101","GID9530393","GID9533270","GID9533271","GID9533272","GID9533274","GID9533275","GID9533276","GID9533277","GID9533280","GID9533281","GID9533282","GID9535491","GID9535492","GID9535493","GID9535494","GID9535499","GID9535540","GID9535541","GID9535542","GID9535543","GID9535544","GID9535545","GID9535547","GID9535729","GID9535731","GID9535732","GID9535733","GID9535734","GID9535739","GID9535742","GID9535748","GID9536857","GID9536858","GID9536859","GID9536860","GID9536861","GID9536902","GID9536904","GID9536905","GID9536906","GID9536907","GID9538023","GID9538024","GID9538029","GID9538218","GID9538219","GID9538220","GID9538221","GID9538222","GID9538223","GID9538225","GID9538229","GID9538230","GID9538232","GID9538234","GID9538236","GID9538237","GID9538239"
"GID9519897",1.26280678441934,0.411770864067944,0.373556204306607,0.248144824451818,0.373380299733485,0.451730925317365,0.408734295296638,0.305625479966176,0.396770497162782,0.0164647862590524,0.0180569812728486,-0.00801860119249594,0.00992986214151648,-0.0039041864985188,-0.08357187745373,-0.0549781129865506,-0.040042006645067,-0.0225383608063263,-0.010973472444541,0.0335080291209288,-0.0865556321456995,-0.0355089455042497,-0.040469310793289,-0.0800808246752926,0.363272626386705,-0.0436881025625085,-0.0497210500749614,-0.0404504405449104,-0.0879641183445791,0.0217149265818025,-0.0535102065045589,-0.0587358399767406,0.0455985870420714,-0.0298358827680057,0.401459350699253,-0.103503511391427,-0.0125551228546751,-0.0759009080096314,-0.0857835001929677,-0.0819775881769288,-0.0951848780017085,-0.0240894721458224,-0.0590134073197879,0.00903244419379821,-0.0287087294479786,-0.0177913601794572,-0.0377993951225203,-0.0182774688010173,-0.0326965165879667,-0.044358353646436,0.0184698263636399,-0.0355515662560984,-0.0321551546824758,-0.03475024878692,-0.0730526633326449,-0.0555846654109041,-0.0391529569458952,-0.04191894785829,-0.0776380633039452,-0.0435840007601452,-0.0734480670253439,-0.0373581234229448,-0.0576196725669742,-0.033406980134726,-0.0212643762920864,-0.0313301669212402,-0.0187678084782655,-0.00423271171389343,-0.0372137017750995,-0.0598392766937835,-0.049212213674708,-0.0474295219968725,-0.0900771555396335,-0.118222595672412,-0.0549696599535778,-0.0775868418017632,-0.0990858079723888,-0.0653831058626729,-0.0552993487658498,-0.117936979734853,-0.0848556519348839,-0.119053666566142,-0.0109095904414431,-0.0313610386271886,-0.0226103921564419,-0.0274690059808292,-0.0295812498670984,-0.0259821588014544,-0.0499044108215441,-0.0758201567368604,-0.0661075587039895,-0.0739190764663117,-0.0573061347945916,-0.062403539751795,-0.0749153911427626,-0.107066713531464,-0.0670097587921665,-0.068280076166447,-0.0957881050392838,-0.071421983466997,-0.0679763602931166,-0.089034018768177,-0.0707373729832387,-0.0858095363769208,-0.0456956723051608,-0.0620968676284142,-0.0819341473823864,-0.0927727081640871,-0.0732303798256745,-0.0463932046235462,-0.101322099506788
"GID9519899",0.411770864067944,1.14929075738777,0.307173738362939,0.256830810483539,0.398452617081443,0.505968942525994,0.429055464477445,0.358126767158708,0.418236915979065,0.071760193622394,0.00661408415050202,0.0242071036272986,0.0284298796933252,-0.000724718352082541,-0.0542727748220946,-0.0554931176339016,-0.0578127210424007,-0.0216030748005334,-0.00261100214571585,0.0361061590224131,-0.0953592037042535,-0.0672789451282616,-0.0669180373068294,-0.0930475192224405,0.364287389446275,-0.0589842080870175,0.008246410831794,-0.0736839891287446,-0.0662443469225308,0.0646254258200391,-0.0150964001781071,-0.0727058075935512,0.0807545817908795,-0.00633117603042708,0.44905438868551,-0.0925676042755933,-0.0816500444016702,-0.0513441193724985,-0.0825442320828911,-0.0478121538625323,-0.0389493708046094,0.0120202076947942,-0.0811818497376307,-0.015508251964227,-0.041821855647094,-0.0179577180798725,-0.0456499292864239,-0.0123096287174977,-0.0347313141113446,-0.0348816650440848,-0.00645353062237408,-0.041440783726644,-0.0226510707602737,-0.0386858761409859,-0.0739143131913131,-0.0641157474113922,-0.038895435855361,-0.0463518524516236,-0.0722197789766525,-0.0443139908944127,-0.0861367306715141,-0.0328603355260842,-0.048229175507259,-0.0158101205493515,-0.0168248200978861,-0.0464783153225393,0.00310775540615427,0.0193312546267004,-0.0164282886328803,-0.0583214304546808,-0.0504447964987847,-0.0534006912168873,-0.0774882585477201,-0.106765220825542,-0.0525844524888805,-0.0927534770652416,-0.122434206763944,-0.103019484647854,-0.0919342693732228,-0.132251476034726,-0.113481062504944,-0.0775820354503188,-0.0324843103482505,-0.0786826692367831,-0.0260695425263666,0.0149477171298297,-0.0431489369135474,0.0109295936763388,-0.0245382631523373,-0.0889321644604699,-0.0904318616102464,-0.0883637352957225,-0.0714095558031139,-0.0805945556581717,-0.0841254488695099,-0.0878055336873277,-0.0681591660734474,-0.0888546207639169,-0.122583186784155,-0.0948469189554996,-0.0954719436868433,-0.110988597330591,-0.0857051217524374,-0.112029359970003,-0.0766684727086759,-0.0650306011766579,-0.0937878472890062,-0.0735338765800637,-0.056053468835185,-0.0742601018921871,-0.0834213536905794
"GID9519906",0.373556204306607,0.307173738362939,0.92872943672759,0.178749625912895,0.423207517334746,0.289542522441106,0.359463756076472,0.426876905980161,0.37144500086418,0.0106149570273833,-0.072327121457633,-0.0121828289482901,-0.0391316857943592,0.0129302368777016,-0.0614205436414684,-0.0653887409865735,-0.0571510618864474,-0.0413202701850991,0.0174225207048638,0.0309339269961201,-0.102578412519868,-0.0518706563891462,-0.0559613052005984,-0.0709644935032013,0.404504550350615,-0.0580033617547453,-0.0174098195931605,-0.0611998877630823,-0.06719306555981,-0.00216110729947315,-0.0152966774466207,-0.0620072773777492,-0.0543021005660867,-0.0156567829539685,0.380538855917118,-0.0949678851181523,-0.0217803697699942,-0.0587303249657353,-0.032219206073384,-0.0674843253189237,-0.0697064231191691,-0.034732583485383,-0.0394228854820908,-0.0106305372715477,-0.0390405620637983,-0.00828495452716016,-0.0410679960168863,0.0208416699540305,-0.0424129867681987,-0.0557267371857102,-0.00706994525902957,-0.0408180379704903,-0.0124328649448902,-0.0390565484424266,-0.0576848482704777,-0.0428772761991759,-0.0345209269132221,-0.0123764421742135,-0.0555736278595527,-0.0316664856867989,-0.0681127446305017,-0.0200506564544368,-0.0391153783072554,-0.00761090921280635,-0.0307526770041044,-0.0447367725366494,-0.040595859489975,-0.0440218632426185,-0.0454654377392001,-0.0369333165647441,-0.013840844772236,-0.0147747703707512,-0.0613772964936447,-0.070907943241684,-0.0211496459988794,-0.0422144675127647,-0.0879194528397697,-0.057407140657643,-0.0422601603386802,-0.0930248551413766,-0.065092092770277,-0.0923984618440255,-0.0571360264906304,-0.0695673980245551,-0.00453632720233812,-0.00915084434670801,-0.0258382588119701,-0.0150345330481423,-0.0507526536384164,-0.0545738149527836,-0.0490289992462555,-0.0282824268314671,-0.020691067131716,-0.0329588635899242,-0.0526255557915156,-0.0729917719041893,-0.032500856459513,-0.0460603123139293,-0.0911304135709912,-0.045436133725919,-0.0610110981682511,-0.0840127953044993,-0.0557454505087207,-0.0718664439695621,-0.062004556337366,-0.0660228880640323,-0.0799687849648546,-0.0759268621851829,-0.0818459003283579,-0.0885296592347749,-0.0777260008103502
"GID9519907",0.248144824451818,0.256830810483539,0.178749625912895,3.49843863415482,0.242269557474768,0.179956035982326,0.181171925385032,0.223604324048072,0.273362106928863,-0.0025973425564105,0.0701518743243778,0.0379261794197033,0.050443173156138,-0.0746326671354311,-0.0351452012785132,-0.0536233053292778,-0.077401091316125,-0.0456677438065776,-0.0789165561828627,-0.053099132415958,-0.0865158063865009,-0.0898796868976724,-0.0716915839411623,-0.086057968852892,0.21542783880149,-0.0685666403580705,-0.0683413063098114,-0.0889452636992873,-0.04168911934834,0.0229142021931591,-0.0208646514425771,-0.0791382768292181,0.0294540806132034,0.00836483108626305,0.276767519186873,-0.100678609757941,-0.0757131682648121,-0.0624680535957038,-0.110903651931093,-0.0608253489005609,-0.0534100150620638,0.026676513730842,-0.0651389450213473,0.0379353027329011,-0.0255042115991992,0.0471476420513385,-0.0289581383326292,0.0698203566093943,-0.0307028997185735,-0.0443892095333095,0.0329721616832744,-0.0294708541350516,-0.0443592906669914,-0.0233395607160654,-0.118396117876245,-0.100095627022735,-0.0974877917407595,-0.101003896291287,-0.0915414004253832,-0.105387238703433,-0.121097265879764,-0.0913955103047515,-0.085476986693597,-0.0909866836949216,-0.00880153573177574,0.00150889476179504,0.0113728251080672,0.00563162413354706,-0.0142720410824197,-0.0765363353595864,-0.036967662377882,-0.0449694282243072,-0.0758664456216314,-0.0814036225490043,-0.0495316171412031,-0.0988038799177725,-0.124500502255333,-0.115374474573577,-0.0835942846487438,-0.0946861018104923,-0.120263560495336,-0.064470680675587,-0.051861187690435,-0.048964805792051,-0.0649469218454709,-0.0227887478892169,-0.0602631587110112,-0.0065693447441432,-0.0307964177423868,-0.0933685979103216,-0.0664348957017946,-0.105302293903903,-0.082587878350489,-0.0914333593928027,-0.0816880141237235,-0.0898754404069698,-0.0650561848975299,-0.126311428769858,-0.118887000921745,-0.128480662958652,-0.0810174100957543,-0.111756088537633,-0.0618543938161044,-0.109171060519376,-0.0848843571209815,-0.0705863933723627,-0.0720110596088403,-0.0869558847089963,-0.0731375879748162,-0.0753739836715245,-0.0931323108159389
"GID9519911",0.373380299733485,0.398452617081443,0.423207517334746,0.242269557474768,1.03536373156706,0.380103381534922,0.513478258037084,0.477038831549413,0.426288384375456,0.0646164248418051,-0.0283996098985542,0.0324246202961224,0.0127862134130041,-0.0152052233393451,-2.9065649434211e-05,-0.0317932842984158,-0.048925165893575,0.0034896704789231,-0.0166839840522938,0.0115962145484681,-0.0871416899932482,-0.0657033276632824,-0.0275849879188105,-0.0739327209851852,0.342267450861178,-0.0236349349117438,0.0144517894362003,-0.0820038362042484,-0.0255989965402832,0.0411437105023276,0.0315136715691649,-0.053333714355136,0.00508445983635037,-0.0160895853821872,0.50730423777144,-0.0846799404464478,-0.0314087267276913,0.00872082268211716,-0.0256768535783025,-0.0440557199254236,-0.00907109607877381,0.0343742904058992,-0.0477680549959397,-0.0312204568341104,-0.0381260543189845,-0.0566885733028725,-0.0375858091299595,-0.0359033722686567,-0.0410586480011293,-0.0392238776627825,-0.0264504942192521,-0.0426183824176466,-0.0372644591821329,-0.0447402313383049,-0.0803772856820706,-0.07698649165151,-0.0640006957147347,-0.0442530420638633,-0.0691679395566082,-0.0558099770603832,-0.0940005392105699,-0.0323852002494353,-0.0560273204174768,-0.0342647591248079,-0.00567717184937505,-0.00839140623979339,0.0348421632597773,0.00247579955703629,-0.0165243914237798,-0.0872063108596738,-0.0692571061758574,-0.0697120063799716,-0.0843206897043984,-0.0978535153327004,-0.0714084213777999,-0.09833343892895,-0.120708601736703,-0.104420904589119,-0.0893479814751886,-0.138232435543678,-0.108613404628521,-0.086681328059482,-0.0736078675324215,-0.0898876911724926,-0.0149941257245079,-0.00809005412379878,-0.0437200843290725,0.00966123093986658,-0.008699928306432,-0.0916653484008862,-0.0972807932123794,-0.0859308553879937,-0.0603561111504813,-0.068684695028375,-0.0740274380034687,-0.10768658671244,-0.0699133197442267,-0.100643658594431,-0.123398994512877,-0.0983856808860634,-0.105926527634259,-0.11628438992124,-0.111490929379958,-0.117475303486946,-0.093062894498283,-0.078130238535103,-0.117857849341242,-0.0717629518804228,-0.0607708077977245,-0.0902063092427932,-0.112830671997268
"GID9519912",0.451730925317365,0.505968942525994,0.289542522441106,0.179956035982326,0.380103381534922,1.10393727618967,0.412280647250978,0.343828866031868,0.466695849999027,0.0257928592589026,0.0146400412904594,0.0130052355192824,-0.00216277165148155,-0.0257368555937877,-0.041240432641256,-0.0642760917559815,-0.0633822068550395,-0.0552721199096422,-0.0282641129204373,0.0700171670191379,-0.0988958530985433,-0.0262137378574506,-0.0659740351048211,-0.0576713372908481,0.410245482908364,-0.041866102337225,-0.00297967626216523,-0.0779800078219577,-0.0333181725950504,0.0309865254760815,-0.00487584794390078,-0.0478060901076722,0.0687815653698805,-0.000635085817654159,0.441595163352519,-0.0807555117995283,-0.0146694879960839,0.0110786337407722,-0.0551025606473626,-0.0224070899440082,-0.0264179180138755,-0.0234735725703528,-0.072122544437079,-0.023355792245929,-0.0449865284716707,-0.0306882835966103,-0.0431403532799701,0.00614647251262786,-0.0368691179043607,-0.0546053862168563,-0.019612924568822,-0.0423750126887392,-0.0324454036874085,-0.0439212071768489,-0.0558228073474318,-0.0582472831697157,-0.0611735718222673,-0.0361878264664053,-0.0758703007776727,-0.0340310943619461,-0.0478100383951694,-0.0576492870986577,-0.0514027129016809,-0.0360646009104834,-0.0420233906038968,-0.0659418940240507,0.000783794839446932,-0.0249845079239183,-0.0164223132979368,-0.0813133751158678,-0.0763105809511047,-0.0777236394257877,-0.0928708769017295,-0.114090588847083,-0.0846973222424321,-0.0872354801992258,-0.0817873725012077,-0.0569484306838125,-0.0424198565237313,-0.107793761719373,-0.0730930949834196,-0.102414161923017,-0.0482019524780593,-0.0595468303594937,-0.0506495969181165,-0.00269550013858545,-0.0661733061592132,-0.0281073539847478,-0.0713970076700047,-0.0763697141773073,-0.0824506068330721,-0.0666521820248252,-0.0586614438951076,-0.0629036973987778,-0.0885088048393018,-0.113627729954512,-0.0903473728017166,-0.0758708259972502,-0.102682668306629,-0.0798141297251321,-0.0579939107962522,-0.0807036813887708,-0.0700851224847268,-0.0656760708526511,-0.0680316259408248,-0.0862890923672634,-0.0923881804334691,-0.0894886393948833,-0.0913077676449398,-0.0848969183555213,-0.0677662513103473
"GID9519913",0.408734295296638,0.429055464477445,0.359463756076472,0.181171925385032,0.513478258037084,0.412280647250978,1.02545626307074,0.288694337168102,0.435525094108356,0.042978789686016,0.00867239700435085,-0.0343248309990776,0.0160040744604976,-0.00560060813968563,-0.0594738076213749,-0.0571284075630251,-0.0533704596037505,-0.0340421671857222,-0.00878592658991283,0.0629468087366504,-0.0871658424865766,0.00235374480384795,-0.0389323816370375,-0.0837819454674621,0.352822935082082,-0.0480410382885779,-0.00541887653931367,-0.0802272127099238,-0.0535697186921208,0.0600219805794145,-0.0236349663133849,-0.0747326016602341,0.0613039832858347,-0.0295670160868422,0.342111104295582,-0.0826747992231328,-0.0216139222939718,-0.016418374122679,-0.0515120495942453,-0.0598529457809467,-0.0411495233331424,-0.0331535475170809,-0.0622254747018253,-0.0641483108815317,-0.0983631903126605,-0.0984781773514027,-0.0960715982174145,-0.0740709981027445,-0.0897592271470309,-0.0871749344423142,-0.062505247048631,-0.0992534755921241,-0.0748559988229949,-0.0982022125445427,-0.0398009769058919,-0.0363663433734637,-0.0389577838766219,-0.0214415547825982,-0.05352145218148,-0.0154514937811425,-0.0488940992246583,-0.0202169758507213,-0.0463786022951001,-0.013454828217552,-0.0289771646192011,-0.0643907067170517,-0.0318541410668145,-0.0199648066478571,-0.0637987311574166,-0.0700899095045564,-0.0583166046223768,-0.0579214125951105,-0.0810140427093813,-0.0937236815644891,-0.0600602889407762,-0.0574892485198477,-0.0671912864295379,-0.0373380821808986,-0.0366642091198544,-0.0834962363489521,-0.0607177228176643,-0.089770722563521,-0.0269453524511611,-0.0168550451629098,-0.0350715293227,-0.0238930228583353,-0.074505158101542,-0.00105277637397563,-0.0402473135101393,-0.0545343146157929,-0.063990010978862,-0.0388797637188143,-0.0389798754497835,-0.0375193691758155,-0.0515534915885439,-0.100335176937935,-0.0560853332570525,-0.049342554875964,-0.0926289709683261,-0.0521288149624768,-0.0521086018580668,-0.0667598245264156,-0.077046506185457,-0.0603489738214717,-0.0269581656230998,-0.062388919883307,-0.0615230739995517,-0.0795542531424377,-0.0656998303777791,-0.0594471932323875,-0.0501477186162522
"GID9519929",0.305625479966176,0.358126767158708,0.426876905980161,0.223604324048072,0.477038831549413,0.343828866031868,0.288694337168102,1.10024157970017,0.375702730998924,0.0181374418449545,-0.0672139597492315,0.0343219237600519,-0.018402952380232,-0.00862526616688265,-0.0179305531302475,-0.0289126850002276,-0.041665343520914,-0.0149092813283247,-0.0157005611617414,0.0439723080937338,-0.121947563126376,-0.068964333127953,-0.0552698776789628,-0.0512277487983602,0.421188479506252,-0.0425448671704189,0.0120622404915609,-0.0974180846557816,-0.00220992263251256,0.00783509707663101,0.0441282145873809,-0.0643127625914478,-0.00753797957681654,-0.0395398541679809,0.476256523599953,-0.0818142865323541,-0.0290523973509248,0.02370661768989,-0.0173578011873001,-0.0274125218971632,-0.0113138972124304,0.00587324975383195,-0.0554797952265614,-0.0127058813482679,-0.0342761810732624,-0.0355264484484087,-0.0363787677548564,0.0435717143275389,-0.0356887039489529,-0.0312882325681536,-0.000864268279423054,-0.0371870267609641,-0.032163811385225,-0.03923601556518,-0.0546322240580936,-0.0341983078251161,-0.0313649335787086,-0.0194073337794173,-0.0367528380661797,-0.0226406659154163,-0.053556827519125,-0.0223954502432697,-0.00787452956584846,-0.0144913402680436,-0.0588338277093697,-0.0707723544080276,-0.0295232697528977,-0.0583393293132324,-0.0515668814300465,-0.0642576391045415,-0.0427097947432699,-0.0394095691274959,-0.0681651568190674,-0.0935310744676696,-0.0457589684084017,-0.0636778744474105,-0.117584828087695,-0.0938949500586848,-0.085650988038016,-0.136706121782603,-0.0958608994754843,-0.0684457142378963,-0.0524894498894977,-0.0816475326632292,-0.0289226132766849,-0.0222338786783693,-0.0511255401230623,-0.0225772536087048,-0.0542378929600741,-0.0649597038010139,-0.0709630106387978,-0.069532438010569,-0.0601075536652107,-0.0619135098808858,-0.0738488593261108,-0.0963773570675455,-0.0687414515542033,-0.0879793413202405,-0.120626450662859,-0.0901380267498331,-0.101313621039098,-0.101059456928361,-0.0897143547201993,-0.117898499837721,-0.0802103370738378,-0.0906536333792989,-0.112264800282013,-0.0709591849542851,-0.0711121101967832,-0.061003895243833,-0.0920985510663236
"GID9519931",0.396770497162782,0.418236915979065,0.37144500086418,0.273362106928863,0.426288384375456,0.466695849999027,0.435525094108356,0.375702730998924,1.11792746361739,0.0377235349846275,0.00571474338079942,-0.00531361874080355,0.0255073984709447,-0.0176030304934313,-0.088599464616345,-0.0492428724649676,-0.0709563370398313,-0.0397549568126342,-0.0132602850958588,0.00398131423452032,-0.0860990235232318,-0.00325040929603369,-0.0404234030739639,-0.0950656234489995,0.365170325555827,-0.0434212681836199,-0.0138128256477619,-0.0427082410044563,-0.0642622372353956,0.0802544566204849,-0.0509270133688829,-0.0659350492554179,0.0309136884470979,0.010777921870948,0.287141146461578,-0.100096366363265,-0.0025131938361268,-0.0585770787053256,-0.0796224421807684,-0.0655629345116884,-0.0650368430605067,0.0282571710670355,-0.045585147649749,-0.0371447134140083,-0.06674011355385,-0.0619914305991845,-0.0659286145921754,-0.0455576795694274,-0.063743210847429,-0.0605821494744698,-0.0236262511748629,-0.0662748031869235,-0.0399353322553037,-0.0649410180782591,-0.0589414145009893,-0.048045482183391,-0.0454832979783649,-0.0415816607768321,-0.0562238118364216,-0.0290655655954846,-0.0604377884758799,-0.0301037028810474,-0.0658807517880582,-0.0296057009154082,0.0178886689879086,0.0043103672578512,0.0502404261677754,0.0455514898271873,0.00597302004728956,-0.0948637326855526,-0.0652410185609865,-0.066415853638623,-0.105882576734797,-0.100401913054127,-0.0688978295307084,-0.0809992448273978,-0.0845235508009023,-0.0589136954668868,-0.0447867486014755,-0.0980538186845487,-0.0959641154900815,-0.11680919282648,-0.0665527638702248,-0.0605519647479002,0.010016538971339,0.0236599861550263,-0.0198506477471661,0.0389565587916418,0.0184333949143185,-0.0807072755907476,-0.0793978464605334,-0.068739670574119,-0.0363699016514869,-0.0630697573259681,-0.0825237463074347,-0.122070160080338,-0.0749921956141154,-0.0671530687249481,-0.132850201851284,-0.0638612124203304,-0.0764992860043597,-0.0904971294152889,-0.0852401896928742,-0.0800667150082747,-0.0784511191283837,-0.108145699099175,-0.116929949242634,-0.0925196615428559,-0.0979302183841454,-0.095280082947176,-0.0809582826272165
"GID9527519",0.0164647862590524,0.071760193622394,0.0106149570273833,-0.0025973425564105,0.0646164248418051,0.0257928592589026,0.042978789686016,0.0181374418449545,0.0377235349846275,1.47169053049902,0.324147062372522,0.285943677422727,0.667620378380364,-0.0249858491389729,-0.0373012327438418,-0.0211404974994034,-0.0199949975394919,-0.00221334248760896,-0.0252154201201896,0.0560519978398113,0.107313828798403,0.0451558023398553,0.0792331887824836,-0.0197949897935151,0.019020262069971,-0.0468091535163727,-0.0268895694612099,-0.0684669109917798,-0.0527539609007186,0.486571287136819,-0.0342458673181426,-0.0140330800889824,0.341721337316982,0.311756382900097,0.0483808635290472,0.0604457608731589,-0.0175081435022294,-0.019502527825283,-0.0235121084908008,-0.0481960793099785,-0.0435064152618505,0.316714253823499,-0.0270008954172244,-0.0206810541237241,0.00362256471314193,0.0230142776810521,0.00634946857497154,0.00243975926582605,-0.00138468845869573,0.00193007960626416,-0.0148052563639718,0.00110233549409129,-0.00958608407108256,-0.00214402361900343,-0.0735228246831496,-0.102626147091496,-0.0749143195995747,-0.0614215376166511,-0.0644223925525026,-0.0357422371593534,-0.0718765024343835,-0.043342203558593,-0.0890557565236366,-0.0402040928840378,-0.0392716903891391,-0.0340965388398459,-0.0322677386232583,-0.00361723848802863,0.0298239216146862,-0.0808518228037448,-0.0563002096135049,-0.0565554627784647,-0.0948879984768584,-0.094086973199235,-0.064802391513331,-0.14314195094163,-0.12934101620037,-0.115360971524692,-0.115905537288292,-0.118631731008789,-0.12909149852637,-0.097935533838339,-0.0680458683146796,-0.0846696941950818,0.0039472100954502,-0.0139263521870853,0.0283380689563685,0.00088890740234343,-0.0625014907273711,-0.0817209754110268,-0.0820194874690551,-0.105826113156102,-0.102492902365381,-0.0998154242251728,-0.0868000239102899,-0.093274327321575,-0.0678396103473211,-0.100498111936543,-0.138167770304952,-0.102787411445726,-0.128932912417555,-0.108830657153149,-0.113959453849391,-0.133002810089956,-0.0851670361989446,-0.0748840343942533,-0.093383185349763,-0.0684157182330496,-0.0686251350195164,-0.0811606516304764,-0.0770212286030125
