"","A1257","A1258","A1259","A1260","A1261","A1262","A1263","A1264","A1265","A1267","A1268","A1269","A1270","A1272","A1273","A1274","A1275","A1276","A1277","A1279","A1302","A1304","A1307","A1309","A1310","A1311","A1312","A1313","A1314","A1316","A1317","A1318","A1319","A1320","A1321","B1005","B1007","B1008","B1009","B1010","B1011","B1012","B1019","B1053","B1055","B1057","B1058","B1060","B1061","B1062","B1075","B1102","B1103","B1104","B1105","B1106","B1107","B1110","B1111","B1151","B1152","B1153","B1155","B1157","B1158","B1159","B1160","B1161","B1201","B1202","B1203","B1205","B1206","B1207","B1208","B1209","B1210","B1211","B1216","B1217","B1218","B1219","B1220","M1345","M1347","M1351","M1353","M1354","M1356","M1357","M1358","M1359","M1360","M1361","M1362","M1363","M1364","M1365","M1366","M1367","M1368","M1463","M1464","M1465","M1467","M1469","M1471"
"A1257",2,1.7209,1.72049,1.67369,1.68479,1.60956,1.6988,1.74181,1.74125,1.75279,1.71408,1.71865,1.70386,1.78757,1.7626,1.75596,1.66467,1.67552,1.68461,1.7054,1.64963,1.71041,1.71979,1.71895,1.71683,1.64285,1.71659,1.76845,1.68076,1.74332,1.71268,1.70203,1.70695,1.68652,1.69661,1.71964,1.66089,1.71948,1.73046,1.74779,1.71511,1.74306,1.70896,1.68053,1.71004,1.71609,1.70645,1.71006,1.65073,1.76541,1.72085,1.71322,1.71868,1.71151,1.68464,1.74732,1.67644,1.65985,1.67863,1.69716,1.71687,1.69124,1.66766,1.71711,1.69069,1.65691,1.68163,1.69461,1.67463,1.63943,1.65071,1.66993,1.69987,1.70685,1.67646,1.75988,1.62611,1.71792,1.7168,1.65479,1.7074,1.66506,1.69861,1.55046,1.69235,1.64798,1.64645,1.64909,1.64965,1.64831,1.63466,1.65028,1.64347,1.64941,1.68932,1.64662,1.69214,1.68799,1.69415,1.66074,1.70803,1.65506,1.70794,1.6642,1.68732,1.67924,1.72499
"A1258",1.7209,2,1.71961,1.68411,1.65465,1.5474,1.67086,1.73384,1.69768,1.69,1.72196,1.71137,1.67018,1.76382,1.78363,1.74543,1.7216,1.73402,1.7027,1.7415,1.68815,1.70953,1.66464,1.66115,1.66158,1.7188,1.6663,1.69394,1.63688,1.66094,1.70448,1.69062,1.67168,1.70113,1.64342,1.68136,1.61976,1.61936,1.63051,1.7503,1.71631,1.70454,1.69143,1.63479,1.73794,1.62406,1.63553,1.70794,1.65473,1.65435,1.69458,1.67443,1.65586,1.68954,1.6752,1.68585,1.6416,1.60069,1.60662,1.68078,1.73289,1.64013,1.59681,1.76333,1.59974,1.60383,1.63697,1.64721,1.74198,1.60679,1.64093,1.75763,1.7302,1.76076,1.6656,1.75427,1.57314,1.78643,1.71708,1.68601,1.62405,1.58342,1.66236,1.57655,1.61794,1.64485,1.64378,1.64754,1.64796,1.64516,1.65766,1.64105,1.66499,1.64758,1.64782,1.64679,1.66278,1.63857,1.66441,1.67497,1.6231,1.63549,1.62986,1.59033,1.67398,1.67366,1.69472
"A1259",1.72049,1.71961,2,1.6015,1.64428,1.54551,1.64786,1.79114,1.65918,1.67475,1.68279,1.67585,1.66731,1.78262,1.75491,1.82041,1.65411,1.65197,1.64712,1.6418,1.56936,1.61105,1.61302,1.61394,1.61601,1.5982,1.62744,1.66401,1.59686,1.67607,1.63881,1.63711,1.61614,1.64395,1.65402,1.84425,1.63927,1.6494,1.64385,1.70102,1.64287,1.81774,1.65536,1.70548,1.67957,1.64096,1.65192,1.66322,1.62556,1.64003,1.63288,1.65817,1.60997,1.66212,1.61851,1.67146,1.58282,1.6714,1.69347,1.74475,1.6633,1.59616,1.59939,1.709,1.5928,1.60275,1.62827,1.61795,1.61297,1.5797,1.59839,1.72711,1.66121,1.7319,1.66993,1.79258,1.60228,1.63065,1.65057,1.63366,1.59868,1.57849,1.6017,1.47214,1.65101,1.55554,1.55428,1.55867,1.55823,1.55566,1.61194,1.59163,1.55833,1.55684,1.62502,1.59062,1.71679,1.64764,1.60595,1.6214,1.6245,1.58623,1.63147,1.58357,1.64054,1.64072,1.62286
"A1260",1.67369,1.68411,1.6015,2,1.66957,1.5426,1.70132,1.68698,1.78947,1.74271,1.7206,1.73795,1.67683,1.67663,1.70955,1.64546,1.72904,1.74647,1.70457,1.64983,1.61672,1.63261,1.68594,1.68191,1.68813,1.62111,1.68895,1.72757,1.66841,1.61472,1.74001,1.79359,1.76819,1.80404,1.64153,1.62261,1.67829,1.62746,1.61672,1.85425,1.79518,1.58775,1.77362,1.56517,1.82647,1.62653,1.63876,1.76321,1.68504,1.65777,1.76408,1.75043,1.64763,1.74986,1.72115,1.75608,1.63123,1.58788,1.59948,1.60434,1.84109,1.73166,1.62676,1.69917,1.61889,1.61649,1.62702,1.6338,1.63418,1.61995,1.60463,1.63326,1.63932,1.72977,1.66676,1.72088,1.61655,1.69708,1.7014,1.58978,1.6091,1.61814,1.64723,1.4962,1.59804,1.58268,1.58227,1.5862,1.58565,1.58319,1.59122,1.57177,1.59526,1.58316,1.60093,1.63985,1.62945,1.58038,1.68073,1.73497,1.66951,1.62286,1.61164,1.57934,1.68421,1.73703,1.65364
"A1261",1.68479,1.65465,1.64428,1.66957,2,1.67498,1.61956,1.66664,1.67051,1.66971,1.70289,1.70909,1.71469,1.62653,1.64833,1.63899,1.64045,1.61171,1.64591,1.62795,1.60055,1.6196,1.71409,1.71418,1.71471,1.61562,1.73919,1.71524,1.61019,1.58323,1.66187,1.62911,1.61781,1.65323,1.62184,1.63955,1.61295,1.57459,1.60272,1.73024,1.64776,1.62144,1.64373,1.54458,1.68133,1.69796,1.66235,1.67848,1.64094,1.63723,1.63797,1.59712,1.66324,1.68219,1.62428,1.66197,1.59905,1.58071,1.56976,1.60787,1.67157,1.68141,1.56888,1.62708,1.60076,1.58769,1.61957,1.61753,1.62751,1.5535,1.5987,1.60808,1.61391,1.63894,1.63546,1.69531,1.55453,1.67851,1.63391,1.56087,1.70172,1.69206,1.67394,1.52091,1.61457,1.58485,1.58384,1.58781,1.58659,1.58539,1.54891,1.59081,1.58491,1.58738,1.67014,1.61967,1.5981,1.62912,1.6033,1.65362,1.60722,1.60922,1.72121,1.57514,1.6789,1.65177,1.6221
"A1262",1.60956,1.5474,1.54551,1.5426,1.67498,2,1.60346,1.58562,1.59865,1.59518,1.60327,1.60356,1.62963,1.54401,1.58437,1.51954,1.58656,1.5603,1.56445,1.55738,1.58006,1.59946,1.5927,1.59552,1.5895,1.60593,1.58335,1.57606,1.55464,1.52127,1.61291,1.59914,1.58078,1.53248,1.6097,1.55038,1.55609,1.62317,1.58891,1.59096,1.54872,1.5465,1.57946,1.5681,1.58433,1.71395,1.62301,1.55612,1.59902,1.54449,1.52179,1.58308,1.59117,1.57622,1.57562,1.53494,1.566,1.56755,1.59682,1.59962,1.59602,1.58398,1.60892,1.5509,1.58206,1.57899,1.65885,1.63065,1.58773,1.52069,1.61158,1.57868,1.55047,1.55975,1.58603,1.59939,1.59366,1.61757,1.63019,1.53605,1.55894,1.56762,1.52343,1.42472,1.50122,1.55562,1.55446,1.55743,1.55661,1.55492,1.51163,1.57675,1.58456,1.55738,1.59387,1.55049,1.48491,1.5444,1.55342,1.54566,1.57696,1.65464,1.60983,1.56469,1.57169,1.58691,1.6169
"A1263",1.6988,1.67086,1.64786,1.70132,1.61956,1.60346,2,1.67386,1.70602,1.71648,1.6839,1.67472,1.64306,1.70177,1.71231,1.67659,1.67502,1.67141,1.67768,1.65773,1.63292,1.64877,1.72972,1.72887,1.72693,1.64858,1.70308,1.70414,1.69361,1.66308,1.71236,1.69008,1.69232,1.66933,1.67577,1.66169,1.70684,1.66641,1.61416,1.73284,1.70969,1.62535,1.68304,1.67464,1.7377,1.6745,1.68725,1.72523,1.71775,1.70707,1.65061,1.73806,1.6474,1.72922,1.71623,1.68835,1.67224,1.67751,1.68536,1.66298,1.71994,1.64381,1.72985,1.65682,1.67077,1.66856,1.67922,1.70612,1.61088,1.703,1.58891,1.67506,1.67572,1.70528,1.68225,1.74907,1.73161,1.6754,1.67858,1.63753,1.61226,1.59996,1.6177,1.53616,1.67812,1.61379,1.61223,1.61524,1.61474,1.61357,1.65,1.60735,1.62615,1.61518,1.64698,1.64866,1.64135,1.61938,1.65013,1.65144,1.66073,1.61869,1.66235,1.58825,1.67553,1.67296,1.70404
"A1264",1.74181,1.73384,1.79114,1.68698,1.66664,1.58562,1.67386,2,1.73804,1.70782,1.72024,1.70551,1.69687,1.75536,1.73315,1.75194,1.6776,1.6802,1.65624,1.69425,1.61317,1.6528,1.68267,1.68032,1.67816,1.62376,1.68124,1.70454,1.64102,1.68963,1.66162,1.70121,1.67566,1.70142,1.66408,1.76866,1.64476,1.63109,1.63927,1.75214,1.68386,1.80754,1.68357,1.6498,1.72231,1.69978,1.68311,1.69002,1.65053,1.66018,1.67992,1.66942,1.67338,1.71786,1.68419,1.70824,1.61759,1.68426,1.68594,1.68976,1.7276,1.62023,1.63412,1.73107,1.61832,1.62273,1.68702,1.64691,1.6501,1.60552,1.64161,1.70369,1.65163,1.71709,1.67087,1.77058,1.61588,1.66963,1.67511,1.5911,1.64577,1.59869,1.63402,1.50315,1.63182,1.56893,1.56745,1.57072,1.5706,1.56854,1.62154,1.60904,1.56728,1.56988,1.66941,1.63056,1.70676,1.65673,1.63213,1.69876,1.66899,1.64485,1.69655,1.59392,1.65445,1.69035,1.65093
"A1265",1.74125,1.69768,1.65918,1.78947,1.67051,1.59865,1.70602,1.73804,2,1.74468,1.74121,1.74308,1.71693,1.70819,1.71813,1.68003,1.70011,1.70765,1.70176,1.68552,1.64209,1.648,1.66787,1.66464,1.66404,1.64728,1.66019,1.69426,1.62624,1.69851,1.74051,1.81377,1.79317,1.7726,1.69239,1.66389,1.65775,1.72608,1.69943,1.82535,1.7407,1.6617,1.80344,1.62468,1.79506,1.6589,1.65892,1.74824,1.70729,1.67434,1.75274,1.75088,1.68131,1.74352,1.70766,1.76375,1.64878,1.62516,1.65157,1.63134,1.79078,1.7222,1.6762,1.73047,1.61035,1.65479,1.68534,1.64522,1.68973,1.62592,1.65412,1.63664,1.6537,1.71957,1.65835,1.73457,1.62318,1.69268,1.69819,1.59189,1.63428,1.60242,1.61783,1.5154,1.6523,1.61237,1.61154,1.61554,1.61614,1.61321,1.60489,1.62845,1.61973,1.61453,1.6695,1.60171,1.68485,1.63041,1.7303,1.75164,1.72215,1.69022,1.67077,1.64196,1.67496,1.76425,1.6551
"A1267",1.75279,1.69,1.67475,1.74271,1.66971,1.59518,1.71648,1.70782,1.74468,2,1.74109,1.75605,1.69731,1.73746,1.74083,1.7226,1.67819,1.68781,1.68537,1.67395,1.6114,1.64983,1.71639,1.7142,1.71241,1.62881,1.70284,1.71137,1.68634,1.65527,1.74697,1.7286,1.72498,1.72113,1.65664,1.71713,1.75033,1.70553,1.66308,1.82037,1.72257,1.67513,1.75714,1.6704,1.75944,1.66188,1.76546,1.8104,1.75,1.72391,1.72198,1.76731,1.71772,1.75807,1.73515,1.74783,1.70402,1.6876,1.69014,1.6744,1.76516,1.70019,1.70758,1.70112,1.69259,1.73203,1.68189,1.70436,1.6579,1.66292,1.59215,1.68906,1.69879,1.75958,1.71755,1.80243,1.67502,1.69537,1.70518,1.64538,1.65442,1.62915,1.66213,1.55958,1.67927,1.62759,1.62709,1.63051,1.63043,1.62924,1.60862,1.61041,1.65809,1.62944,1.65787,1.65217,1.6847,1.67253,1.66057,1.69665,1.74912,1.65371,1.67305,1.62974,1.74576,1.77525,1.71232
