"","Family","Loc","GID","GM_Trial","BLUE_Yield_corrected","BLUE_Moisture"
"1107","20009489-2984004","Cynthiana_1","GID100020039609",40,4210.05134643213,12.1516455586559
"1112","20009479-3473863","Cynthiana_1","GID100020039694",42,2909.46546034254,11.7816661719971
"1115","20009497-2984004","Cynthiana_1","GID100020039709",39,3832.4288465466,11.2769211469965
"1117","20009497-2984004","Cynthiana_1","GID100020039715",42,3249.89425110053,11.2765792813348
"1118","20001789-2984004","Cynthiana_1","GID100020039716",42,3858.87869399143,12.037188163856
"1119","20009479-3473863","Cynthiana_1","GID100020039717",38,4234.58869399143,12.0371881639697
"1121","20009490-2984004","Cynthiana_1","GID100020039719",42,4294.59043717017,12.0991240185302
"1124","20009472-10020419721","Cynthiana_1","GID100020039726",41,3519.92357399821,11.7320625593646
"1125","20009416-2984004","Cynthiana_1","GID100020039727",42,3107.78588774528,12.1839185456861
"1126","20009416-2984004","Cynthiana_1","GID100020039728",39,4219.55896319727,12.2890369854197
"1127","20009490-2984004","Cynthiana_1","GID100020039730",39,3560.53118344902,12.1808170687766
"1128","20009489-2984004","Cynthiana_1","GID100020039731",39,3321.69664945019,12.237180999023
"1131","20009416-2984004","Cynthiana_1","GID100020039781",42,3472.81620629783,12.3834113081416
"1133","20009419-2984004","Cynthiana_1","GID100020039794",41,3759.59816944428,12.0324044249672
"1136","20009472-10020419721","Cynthiana_1","GID100020039810",42,3971.84208019548,12.2324431388172
"1139","20009416-2984004","Cynthiana_1","GID100020039813",42,4619.20456965307,12.1760720437603
"1144","20009419-2984004","Cynthiana_1","GID100020039821",39,2820.37187478351,11.6954939304185
"1148","20009489-2984004","Cynthiana_1","GID100020039852",39,4618.76740014336,11.7782377749008
"1149","20009419-2984004","Cynthiana_1","GID100020039859",38,4057.63622510739,11.8892011244433
"1150","20009472-3472667","Cynthiana_1","GID100020039860",39,4462.2957634986,11.6708985103418
"1153","20009490-2984004","Cynthiana_1","GID100020039868",41,4343.76508639629,11.9263817885996
"1155","20001789-2984004","Cynthiana_1","GID100020039873",38,3811.78351600565,11.9384628715057
"1156","20009419-2984004","Cynthiana_1","GID100020039874",39,3990.31043717017,11.8991240185302
"1157","20009416-2984004","Cynthiana_1","GID100020039875",38,3793.94418853058,12.1473499167197
"1160","20009497-2984004","Cynthiana_1","GID100020039955",41,3327.46048319135,11.6842604113778
"1165","20009500-10020419656","Cynthiana_1","GID100020039980",39,4598.35853885446,11.9410571107048
"1170","20001789-2984004","Cynthiana_1","GID100020040026",43,4131.55394034846,11.9864427459392
"1176","20009419-2984004","Cynthiana_1","GID100020040115",39,3740.90508639629,11.9263817885845
"1177","20009419-2984004","Cynthiana_1","GID100020040116",39,3955.3081234231,11.8472680322687
"1178","20009419-2984004","Cynthiana_1","GID100020040126",41,4642.90134643213,11.7516455586695
"1182","20009472-3472667","Cynthiana_1","GID100020040176",41,4293.49588774528,12.1839185457119
"1183","20009419-2984004","Cynthiana_1","GID100020040184",41,4039.06622510739,11.8892011243973
"1186","20009497-2984004","Cynthiana_1","GID100020040211",41,4541.65732655251,11.7816977209004
"1188","20009490-2984004","Cynthiana_1","GID100020040220",39,4091.0181234231,11.8472680322537
"1189","20009472-10020419721","Cynthiana_1","GID100020040234",39,4279.5881234231,11.7472680322227
"1191","20009489-2984004","Cynthiana_1","GID100020040244",39,4123.35622510739,11.8892011243082
"1192","20009419-2984004","Cynthiana_1","GID100020040249",41,3496.38389255076,12.3315553218201
"1194","20009472-3472667","Cynthiana_1","GID100020040262",41,3859.55880052541,11.9917847541161
"1195","20009472-10020419721","Cynthiana_1","GID100020040263",40,4362.19237729455,11.7756435354622
"1197","20009479-3473863","Cynthiana_1","GID100020040267",40,4263.47632358332,11.6490513193184
"1201","20009472-3472667","Cynthiana_1","GID100020040279",40,3612.98394034846,11.6864427460686
"1204","20009419-2984004","Cynthiana_1","GID100020040312",37,3697.59140309316,12.1879264170289
"1207","20009472-10020419721","Cynthiana_1","GID100020040332",39,4157.78588774528,11.7839185456722
"1210","20009489-2984004","Cynthiana_1","GID100020040341",41,4621.35357399821,11.7320625593956
"1211","20009490-2984004","Cynthiana_1","GID100020040363",39,3483.12664945019,12.0371809991581
"1213","20009489-2984004","Cynthiana_1","GID100020040369",40,4748.12880052541,11.6917847541628
"1215","20009419-2984004","Cynthiana_1","GID100020040837",39,4397.60690220971,11.4337178463374
"1218","20009479-3473863","Cynthiana_1","GID100020042159",39,4142.75815182789,12.0791542449102
"1224","20009416-2984004","Cynthiana_1","GID100020042186",39,4454.96368986797,11.9163891186108
"1226","20009497-2984004","Cynthiana_1","GID100020042219",39,3855.97242872142,11.7800033480334
"1227","20009416-2984004","Cynthiana_1","GID100020042241",42,3583.88613406065,11.9430928535784
"1229","20009479-3473863","Cynthiana_1","GID100020042302",41,4843.9556623703,12.435525340119
"1230","20009490-2984004","Cynthiana_1","GID100020042309",39,4504.01048438453,11.6368000473743
"1231","20001789-2984004","Cynthiana_1","GID100020042311",40,3578.57516384087,11.7264761517214
"1233","20009472-3472667","Cynthiana_1","GID100020042313",39,3301.08093296853,12.0107634413785
"1234","20009479-10020419721","Cynthiana_1","GID100020042323",40,4847.40242872142,11.6800033481464
"1235","20009472-10020419721","Cynthiana_1","GID100020042327",38,4270.97896319727,11.9890369854336
"1240","20009489-2984004","Cynthiana_1","GID100020042354",38,3998.83242872142,11.7800033481745
"1241","20009479-3473863","Cynthiana_1","GID100020042359",39,3987.14516384087,11.9264761517428
"1244","20009472-10020419721","Cynthiana_1","GID100020042398",39,4314.47740014336,11.8782377748611
"1253","20009489-2984004","Cynthiana_1","GID100020042625",42,4054.17425110053,12.076579281258
"1254","20009497-2984004","Cynthiana_1","GID100020042627",40,4768.98208019548,12.0324431389223
"1256","20009472-10020419721","Cynthiana_1","GID100020042637",38,3881.78351600565,11.7384628712243
"1257","20009497-2984004","Cynthiana_1","GID100020042643",39,4180.57783327535,12.0796614823416
"1260","20009497-2984004","Cynthiana_1","GID100020042651",40,2436.49891520128,11.9747020498712
"1264","20009419-2984004","Cynthiana_1","GID100020042666",39,4193.11242872142,11.9800033481913
"1265","20009416-2984004","Cynthiana_1","GID100020042667",39,3832.35090872733,12.684779922247
"1266","20009479-3473863","Cynthiana_1","GID100020042670",41,3830.76237729455,11.8756435353806
"1267","20009472-3472667","Cynthiana_1","GID100020042674",40,4368.35086489647,11.4813243063211
"1269","20001789-2984004","Cynthiana_1","GID100020042744",39,3772.74212681406,11.9055899080736
"1272","20009497-2984004","Cynthiana_1","GID100020042752",39,4011.41329196219,11.8473884954802
"1275","20009416-2984004","Cynthiana_1","GID100020042769",39,3532.40896319727,11.789036985406
"1280","20009479-10020419721","Cynthiana_1","GID100020042815",37,4038.69934567342,11.8739807116884
"1283","20009472-3472667","Cynthiana_1","GID100020042883",39,4162.75815182789,11.9791542449551
"1284","20009500-10020419656","Cynthiana_1","GID100020042886",40,3606.03048319135,11.7842604113639
"1287","20009419-2984004","Cynthiana_1","GID100020042924",38,4099.24368986797,12.0163891186322
"1291","20009479-3473863","Cynthiana_1","GID100020042953",39,3792.00783327535,11.5796614825705
"1293","20009419-2984004","Cynthiana_1","GID100020042963",40,4678.55329196219,12.047388495339
"1296","20009472-3472667","Cynthiana_1","GID100020042979",39,3457.99844351094,12.5671345367001
"1298","20009419-2984004","Cynthiana_1","GID100020042984",38,4328.55329196219,12.047388495452
"1301","20009472-3472667","Cynthiana_1","GID100020043003",43,5505.76134643213,12.0516455587092
"1302","20009479-3473863","Cynthiana_1","GID100020043008",39,3900.19740014336,11.9782377748475
"1304","20009489-2984004","Cynthiana_1","GID100020043108",38,4253.78090872733,11.7847799222303
"1306","20009489-2984004","Cynthiana_1","GID100020043133",40,3830.22916568177,11.8447556773289
"1307","20009419-2984004","Cynthiana_1","GID100020043143",39,4671.65732655251,11.4816977210055
"1312","20009419-2984004","Cynthiana_1","GID100020043182",40,4346.69880052542,11.7917847541929
"1317","20001789-2984004","Cynthiana_1","GID100020043246",39,4368.92351600565,11.8384628713381
"1318","20009490-2984004","Cynthiana_1","GID100020043272",43,3876.05061441599,20.9112706788847
"1320","20009419-2984004","Cynthiana_1","GID100020043274",39,4179.59613406065,12.5430928535074
"1321","20009479-3473863","Cynthiana_1","GID100020043276",39,3117.15520986206,12.011612544555
"1322","20009419-2984004","Cynthiana_1","GID100020043277",37,3312.58048438453,12.1368000474873
"1323","20009472-3472667","Cynthiana_1","GID100020043279",39,3955.61815182789,12.1791542447971
"1326","20001789-2984004","Cynthiana_1","GID100020043289",41,3825.16541432136,11.6965297791635
"1327","20009472-3472667","Cynthiana_1","GID100020043291",41,3565.16541432136,11.9965297793311
"1328","20009489-2984004","Cynthiana_1","GID100020043475",40,3649.44541432136,11.5965297790497
"1334","20009479-3473863","Cynthiana_1","GID100020043612",39,3286.49891520128,11.7747020500436
"1336","20009416-2984004","Cynthiana_1","GID100020043624",38,4135.84934567342,11.9739807117594
"1338","20001789-2984004","Cynthiana_1","GID100020043635",39,4001.55394034846,11.7864427462206
"1341","20009419-2984004","Cynthiana_1","GID100020043639",40,4033.15869399143,12.2371881641374
"1343","20009472-3472667","Cynthiana_1","GID100020043643",40,3648.79916568177,11.8447556773133
"1350","20001789-2984004","Cynthiana_1","GID100020044011",43,4123.10238270024,12.3948669553127
"1352","20009489-2984004","Cynthiana_1","GID100020044020",40,3954.07086489647,11.6813243063054
"1354","20009419-2984004","Cynthiana_1","GID100020044038",39,3849.78086489647,11.6813243064731
"1355","20009497-2984004","Cynthiana_1","GID100020044050",38,3175.17546034254,11.681666171965
"1356","20009416-2984004","Cynthiana_1","GID100020044051",43,4020.85844351094,12.667134536549
"1358","20009490-2984004","Cynthiana_1","GID100020044093",39,3825.2788465466,11.4769211469965
"1364","20009497-2984004","Cynthiana_1","GID100020044150",40,4343.39118344902,11.8808170687288
"1366","20009490-2984004","Cynthiana_1","GID100020044159",40,2923.08916568177,11.7447556771995
"1368","20009479-3473863","Cynthiana_1","GID100020044164",42,4559.42844351094,12.6671345365276
"1369","20009472-3472667","Cynthiana_1","GID100020044192",42,2799.78086489647,11.4813243062733
"1370","20009489-2984004","Cynthiana_1","GID100020044193",39,4007.26394034846,11.6864427460529
"4102","20009419-2984004","GIBSON CITY_1","GID100020039549",35,4458.53440223145,10.4895442761024
"4103","20009500-10020419656","GIBSON CITY_1","GID100020039550",38,3999.00270264101,10.6292960138521
"4105","20009419-10020419656","GIBSON CITY_1","GID100020039555",35,3972.81440223145,10.6926012948752
"4107","20001789-2984004","GIBSON CITY_1","GID100020039557",35,4655.74475271012,10.908303575587
"4109","20009419-2984004","GIBSON CITY_1","GID100020039562",38,4556.15270264101,10.4276049729878
"4110","20009419-2984004","GIBSON CITY_1","GID100020039565",37,4246.12819430247,10.1996962204527
"4112","20009500-10020419656","GIBSON CITY_1","GID100020039570",39,3868.27415895625,10.7176049729878
"4113","20009419-2984004","GIBSON CITY_1","GID100020039571",41,4745.16770116037,10.5123600113124
"4121","20009497-2984004","GIBSON CITY_1","GID100020039582",39,4327.71890050222,10.9020268585297
"4122","20009416-2984004","GIBSON CITY_1","GID100020039583",35,5066.92499611473,10.6107597878945
"4125","20009419-2984004","GIBSON CITY_1","GID100020039591",38,5186.76133655506,10.4836048135253
"4127","20009416-2984004","GIBSON CITY_1","GID100020039593",40,4670.50000082558,10.3279789813953
"4128","20009419-2984004","GIBSON CITY_1","GID100020039594",41,4261.55981287352,10.792040900466
"4131","20001789-2984004","GIBSON CITY_1","GID100020039601",37,5151.60018878948,10.627822788133
"4133","20009419-2984004","GIBSON CITY_1","GID100020039603",35,4398.59475271012,10.6887811273781
"4134","20009419-2984004","GIBSON CITY_1","GID100020039604",41,4541.93000082558,10.7207244594036
"4136","20009489-2984004","GIBSON CITY_1","GID100020039607",38,4840.64804792154,10.8715578653296
"4137","20009419-10020419656","GIBSON CITY_1","GID100020039608",38,4561.55981287352,11.1179789813953
"4138","20001789-2984004","GIBSON CITY_1","GID100020039610",38,4975.83981287352,10.8707244594036
"4139","20001789-2984004","GIBSON CITY_1","GID100020039611",38,4962.97123488497,10.6379789813953
"4140","20009489-2984004","GIBSON CITY_1","GID100020039612",41,4855.74475271012,10.7379789813953
"4144","20009500-10020419656","GIBSON CITY_1","GID100020039620",38,4526.40108287404,10.9915578653296
"4145","20009500-10020419656","GIBSON CITY_1","GID100020039622",38,4509.53418333521,10.6723600113124
"4146","20009419-2984004","GIBSON CITY_1","GID100020039623",37,5147.44164810179,10.5243033433379
"4153","20009489-2984004","GIBSON CITY_1","GID100020039643",35,4749.70775273664,10.6241181059946
"4155","20001789-2984004","GIBSON CITY_1","GID100020039645",36,5157.00956959832,11.0587811273781
"4159","20009479-10020416300","GIBSON CITY_1","GID100020039658",36,4434.86360494454,9.97830357558704
"4160","20009419-10020419656","GIBSON CITY_1","GID100020039665",40,4334.94608305307,10.5573286175957
"4161","20009416-2984004","GIBSON CITY_1","GID100020039667",38,4810.00655339478,10.5715578653296
"4162","20009419-10020419656","GIBSON CITY_1","GID100020039670",41,3994.14063974249,10.5848579448214
"4163","20009419-10020419656","GIBSON CITY_1","GID100020039671",37,4277.83911800557,10.5073286175957
"4165","20001789-2984004","GIBSON CITY_1","GID100020039673",37,4496.84415895624,10.6292960138521
"4166","20009479-10020419721","GIBSON CITY_1","GID100020039674",35,4013.29270264101,10.3326012948752
"4168","20009419-10020419656","GIBSON CITY_1","GID100020039676",37,4763.54911800557,10.2866069918681
"4170","20009419-10020419656","GIBSON CITY_1","GID100020039679",38,4570.30968323332,10.9720667833153
"4171","20009419-10020419656","GIBSON CITY_1","GID100020039680",38,4710.80233933293,11.2390863463381
"4174","20009479-10020419721","GIBSON CITY_1","GID100020039683",37,5225.07159201898,10.7736223665499
"4177","20009479-10020416300","GIBSON CITY_1","GID100020039689",40,4683.81164776506,10.4209603433261
"4179","20009416-2984004","GIBSON CITY_1","GID100020039695",40,4216.87226107518,10.6841181059946
"4180","20001789-2984004","GIBSON CITY_1","GID100020039703",38,4679.79509947129,10.432040900466
"4181","20009419-2984004","GIBSON CITY_1","GID100020039707",37,4872.94658467052,10.507822788133
"4183","20009489-2984004","GIBSON CITY_1","GID100020039711",38,3930.89615344326,10.417822788133
"4184","20009497-2984004","GIBSON CITY_1","GID100020039725",35,4753.18459018351,10.4892960138521
"4186","20009472-3472667","GIBSON CITY_1","GID100020039733",37,2497.8805531801,11.0520667833153
"4187","20009419-2984004","GIBSON CITY_1","GID100020039734",38,4776.76968882922,10.2076049729878
"4190","20009479-10020416300","GIBSON CITY_1","GID100020039741",35,4810.80233933293,11.1009057134497
"4191","20009419-2984004","GIBSON CITY_1","GID100020039742",35,5164.18183571712,10.4527797104377
"4192","20009419-10020419656","GIBSON CITY_1","GID100020039743",35,4354.44116079172,10.4333314155073
"4195","20009489-2984004","GIBSON CITY_1","GID100020039747",38,5057.65066088321,10.6590863463381
"4198","20009419-2984004","GIBSON CITY_1","GID100020039752",37,4233.37009476044,10.3007597878945
"4199","20009489-2984004","GIBSON CITY_1","GID100020039753",34,4699.14890050222,10.4639661616443
"4201","20009500-10020419656","GIBSON CITY_1","GID100020039756",40,4672.30869965154,10.162040900466
"4202","20001789-2984004","GIBSON CITY_1","GID100020039757",36,4943.91133655506,10.2581137391757
"4203","20009419-2984004","GIBSON CITY_1","GID100020039770",38,4748.60106173333,10.3515578653296
"4204","20009472-10020419721","GIBSON CITY_1","GID100020039774",39,4525.09233933293,10.6547620029229
"4206","20001789-2984004","GIBSON CITY_1","GID100020039777",38,4009.85934206805,10.6296962204527
"4208","20009416-2984004","GIBSON CITY_1","GID100020039779",30,4622.71063974249,10.6963008979707
"4209","20001789-2984004","GIBSON CITY_1","GID100020039782",36,4626.40108287404,10.8756197844002
"4210","20009419-2984004","GIBSON CITY_1","GID100020039783",38,4396.04459018351,10.5896962204527
"4211","20009479-10020419721","GIBSON CITY_1","GID100020039786",39,4512.21376134438,11.0147620029229
"4217","20009479-10020419721","GIBSON CITY_1","GID100020039800",40,4027.71890050222,10.5537178993939
"4222","20009419-2984004","GIBSON CITY_1","GID100020039829",38,5102.78294927583,10.9315578653296
"4230","20009419-2984004","GIBSON CITY_1","GID100020039857",33,5152.64499611473,10.8372388571018
"4231","20009490-2984004","GIBSON CITY_1","GID100020039861",39,4409.69470787008,11.0653589157881
"4232","20009419-2984004","GIBSON CITY_1","GID100020039865",36,4822.56781872991,10.584164766747
"4234","20009490-2984004","GIBSON CITY_1","GID100020039870",37,5317.61528349648,10.6136048135253
"4235","20001789-2984004","GIBSON CITY_1","GID100020039871",34,4812.13328900947,10.7526012948752
"4240","20009419-10020419656","GIBSON CITY_1","GID100020039890",35,4324.61459018351,10.4976049729878
"4246","20001789-2984004","GIBSON CITY_1","GID100020039942",38,4661.55981287352,10.678303575587
"4247","20001789-2984004","GIBSON CITY_1","GID100020039943",35,4822.6881344238,10.682040900466
"4248","20001789-2984004","GIBSON CITY_1","GID100020039947",33,4230.87770116037,10.4518824595213
"4249","20001789-2984004","GIBSON CITY_1","GID100020039949",35,4588.51582424289,10.7392960138521
"4251","20009500-10020419656","GIBSON CITY_1","GID100020039951",39,3753.7457362919,10.5173286175957
"4252","20009419-10020419656","GIBSON CITY_1","GID100020039952",37,4926.42328900947,10.6192960138521
"4253","20009500-10020419656","GIBSON CITY_1","GID100020039953",38,5032.40221846674,10.3666069918681
"4254","20009489-2984004","GIBSON CITY_1","GID100020039954",38,4654.93804792154,10.5023600113124
"4257","20001789-2984004","GIBSON CITY_1","GID100020039960",38,4617.55819430246,10.5876049729878
"4259","20009419-10020419656","GIBSON CITY_1","GID100020039962",38,4440.64804792154,10.9956197844002
"4260","20009419-10020419656","GIBSON CITY_1","GID100020039963",39,5234.83209605773,11.1547620029229
"4262","20009472-10020419721","GIBSON CITY_1","GID100020039965",39,4541.17029084494,10.4333314155073
"4264","20009479-3473863","GIBSON CITY_1","GID100020039969",38,5063.70658760166,10.7409603433261
"4266","20009419-2984004","GIBSON CITY_1","GID100020039972",41,4259.22996931533,10.5581748949588
"4267","20009419-2984004","GIBSON CITY_1","GID100020039974",39,4686.1876259307,10.9263008979707
"4268","20009472-10020419721","GIBSON CITY_1","GID100020039977",40,4533.53396066562,11.027023180417
"4275","20009479-10020419721","GIBSON CITY_1","GID100020039995",40,4460.2535601045,10.3525734674208
"4278","20001789-2984004","GIBSON CITY_1","GID100020040007",37,3831.37582424289,10.6526012948752
"4287","20009479-3473863","GIBSON CITY_1","GID100020040019",37,4440.71328900947,10.5295442761024
"4288","20009472-10020419721","GIBSON CITY_1","GID100020040021",38,4522.71063974249,10.8209057134497
"4289","20009419-10020419656","GIBSON CITY_1","GID100020040024",39,4782.23233933293,11.2563008979707
"4293","20009500-10020419656","GIBSON CITY_1","GID100020040030",37,4309.30974799927,10.724260285257
"4306","20009479-10020416300","GIBSON CITY_1","GID100020040063",30,4300.4776259307,10.0247620029229
"4307","20009419-10020419656","GIBSON CITY_1","GID100020040064",35,3794.14063974249,10.5947620029229
"4308","20009479-3473863","GIBSON CITY_1","GID100020040067",40,4457.6176259307,10.7190863463381
"4310","20009419-2984004","GIBSON CITY_1","GID100020040072",38,4875.01251804857,10.6856197844002
"4312","20001789-2984004","GIBSON CITY_1","GID100020040077",38,4124.13934206805,10.7392960138521
"4314","20009416-2984004","GIBSON CITY_1","GID100020040081",36,4440.95164776506,10.7981748949588
"4317","20009472-10020419721","GIBSON CITY_1","GID100020040087",37,4102.04693436283,10.8166359999109
"4318","20009419-10020419656","GIBSON CITY_1","GID100020040093",37,4779.70781872991,10.6781137391757
"4319","20009479-10020419721","GIBSON CITY_1","GID100020040098",40,4772.65976803348,10.6011305142715
"4329","20009472-10020419721","GIBSON CITY_1","GID100020040121",38,4638.10418333521,10.6643033433379
"4331","20009419-2984004","GIBSON CITY_1","GID100020040123",37,4559.44770116037,10.5415578653296
"4332","20009490-2984004","GIBSON CITY_1","GID100020040124",38,4259.94582424289,10.4596962204527
"4336","20009472-10020419721","GIBSON CITY_1","GID100020040133",36,5091.17252728499,10.7590863463381
"4337","20009416-2984004","GIBSON CITY_1","GID100020040134",40,4702.07996931533,10.4966359999109
"4340","20009479-10020419721","GIBSON CITY_1","GID100020040143",41,3607.84140448986,10.4127797104377
"4342","20009419-2984004","GIBSON CITY_1","GID100020040149",36,4967.96168331623,10.724164766747
"4344","20009489-2984004","GIBSON CITY_1","GID100020040157",38,4627.41806844304,10.3825734674208
"4345","20009489-2984004","GIBSON CITY_1","GID100020040158",36,4522.6881344238,10.8279789813953
"4346","20009479-10020419721","GIBSON CITY_1","GID100020040161",37,4160.72251804857,10.5643033433379
"4347","20001789-2984004","GIBSON CITY_1","GID100020040168",34,4732.98981287352,10.8287811273781
"4349","20009419-2984004","GIBSON CITY_1","GID100020040175",37,4674.21294927582,10.8843033433379
"4352","20001789-2984004","GIBSON CITY_1","GID100020040182",37,4605.33968882922,10.1892960138521
"4353","20001789-2984004","GIBSON CITY_1","GID100020040187",40,4552.85994817462,10.5966359999109
"4356","20009479-10020416300","GIBSON CITY_1","GID100020040195",40,4579.27140448986,10.9566359999109
"4357","20009479-10020416300","GIBSON CITY_1","GID100020040198",40,4700.42371739042,11.0120268585297
"4358","20009479-3473863","GIBSON CITY_1","GID100020040199",35,4772.27480816267,10.5007597878945
"4362","20009419-2984004","GIBSON CITY_1","GID100020040208",39,4610.96952475828,10.6253589157881
"4363","20009479-10020416300","GIBSON CITY_1","GID100020040210",37,4996.56471826874,10.607822788133
"4367","20009419-10020419656","GIBSON CITY_1","GID100020040223",40,4777.17106173332,10.6623600113124
"4369","20001789-2984004","GIBSON CITY_1","GID100020040225",35,4644.24440223145,10.5076049729878
"4371","20009497-2984004","GIBSON CITY_1","GID100020040227",40,4452.86655339478,10.9623600113124
"4374","20009419-2984004","GIBSON CITY_1","GID100020040237",39,3969.3105531801,10.5647671666105
"4375","20001789-2984004","GIBSON CITY_1","GID100020040238",39,4556.15270264101,10.4395442761024
"4376","20009419-2984004","GIBSON CITY_1","GID100020040239",39,4338.88634390352,10.8791134408996
"4380","20009489-2984004","GIBSON CITY_1","GID100020040256",35,5123.24228221589,11.1037178993939
"4383","20009489-2984004","GIBSON CITY_1","GID100020040264",39,4060.2535601045,10.3571782828997
"4384","20009490-2984004","GIBSON CITY_1","GID100020040269",38,4871.29956959832,10.868303575587
"4385","20001789-2984004","GIBSON CITY_1","GID100020040280",40,4890.70727916953,10.9363008979707
"4386","20009479-10020416300","GIBSON CITY_1","GID100020040282",40,3994.14063974249,10.2790863463381
"4388","20009500-10020419656","GIBSON CITY_1","GID100020040288",39,4510.33459018351,10.3195442761024
"4389","20009479-3473863","GIBSON CITY_1","GID100020040290",38,3525.1757362919,10.6947671666105
"4390","20009500-10020419656","GIBSON CITY_1","GID100020040291",41,4379.55276132377,10.4518824595213
