"","GID","Family","Trait1","Trait2","Trait3"
"1","GID9519897",755602,5.012,3.683217802,6.856397828
"2","GID9519899",755602,5.599,3.620851857,7.903622753
"3","GID9519906",755602,5.734,3.767614477,7.684938818
"4","GID9519907",755602,5.386,3.512609508,8.401763851
"5","GID9519911",755602,5.659,3.568402488,7.592094981
"6","GID9519912",755602,5.589,4.00918287,7.787395036
"7","GID9519913",755602,5.269,4.360877633,8.889996243
"8","GID9519929",755602,5.335,4.378355288,7.400585983
"9","GID9519931",755602,5.062,3.433116161,8.475248961
"10","GID9527519",755512,6.033,3.868869403,7.5751935
"11","GID9527522",755512,5.777,4.324277714,8.271603133
"12","GID9527523",755512,5.82,3.614505132,6.935286208
"13","GID9527528",755512,5.022,3.815060698,8.209879546
"14","GID9527529",755512,5.002,4.112136557,8.23189923
"15","GID9527621",755558,5.713,4.487624824,8.109077304
"16","GID9527622",755558,5.465,3.875078701,8.239549452
"17","GID9527626",755558,4.654,4.592589646,7.985575217
"18","GID9527633",755558,5.282,3.892412872,7.828317644
"19","GID9527639",755558,5.62,4.283723431,6.983007559
"20","GID9527641",755559,5.62,3.598922488,7.870383948
"21","GID9527642",755559,5.417,3.848892238,8.213342027
"22","GID9527643",755559,5.463,5.237194619,8.52972459
"23","GID9527654",755559,5.609,3.750590936,8.133000966
"24","GID9527655",755559,5.551,4.203782736,7.385984307
"25","GID9527713",755602,5.144,3.834301833,7.255359073
"26","GID9527742",755559,6.051,4.236683704,9.265339521
"27","GID9527744",755558,4.761,4.216034115,8.180746109
"28","GID9527777",755512,6.015,4.101637577,7.640645662
"29","GID9527783",755558,5.229,3.841239056,7.573854552
"30","GID9527787",755512,4.762,3.99726663,7.71526806
"31","GID9527804",755559,4.392,3.9097881,9.437400122
"32","GID9527810",755559,5.885,4.473949345,7.762386102
"33","GID9527864",755512,4.929,3.486911723,8.371909286
"34","GID9527866",755512,5.774,4.751822139,8.15857359
"35","GID9527870",755602,5.505,3.954321627,7.079196144
"36","GID9527876",755559,5.879,4.143749718,9.239852955
"37","GID9527898",755559,5.384,3.892246759,7.803011607
"38","GID9527899",755558,5.569,4.248444347,7.898925148
"39","GID9527901",755558,5.329,3.98572507,8.432132923
"40","GID9527904",755558,5.707,3.553032004,8.272436861
"41","GID9527907",755558,5.614,3.690784147,7.523041071
"42","GID9527929",755512,6.152,4.064191854,8.59840475
"43","GID9527930",755559,5.615,3.15792725,8.551962904
"44","GID9528090",739130,5.263,4.014396477,8.092958603
"45","GID9528092",739130,6.041,4.401813409,8.595235952
"46","GID9528093",739130,5.509,4.339695658,7.905592374
"47","GID9528095",739130,6.46,4.12633072,8.968582232
"48","GID9528096",739130,5.532,3.918208776,7.700976685
"49","GID9528097",739130,6.055,4.232113792,8.09651277
"50","GID9528098",739130,5.819,4.779371338,9.57757108
"51","GID9528099",739130,5.7,4.154501132,7.922937518
"52","GID9528100",739130,5.717,4.420026577,9.287696709
"53","GID9528101",739130,5.455,4.568915669,9.280077183
"54","GID9530393",739130,5.648,3.776037366,8.362532612
"55","GID9533270",760497,5.847,4.173338257,9.129623869
"56","GID9533271",760497,5.253,3.874254795,8.009835163
"57","GID9533272",760497,5.44,4.528903313,8.62000941
"58","GID9533274",760497,5.778,3.841514239,8.277421521
"59","GID9533275",760497,5.981,4.581971574,8.357631126
"60","GID9533276",760497,5.929,4.281553901,8.784686865
"61","GID9533277",760497,5.554,4.837342831,8.591428246
"62","GID9533280",760497,4.967,3.967380039,8.585763446
"63","GID9533281",760497,5.357,4.511409103,7.619615501
"64","GID9533282",760497,5.353,3.454533799,9.015206882
"65","GID9535491",754443,6.84,3.229418666,8.754620906
"66","GID9535492",754443,5.38,3.44067912,8.755363342
"67","GID9535493",754443,5.56,3.330068708,8.535925168
"68","GID9535494",754443,5.957,3.919433737,9.16254459
"69","GID9535499",754443,5.761,4.189851956,8.610615752
"70","GID9535540",754486,5.786,3.166624693,8.458505537
"71","GID9535541",754486,4.994,2.95698914,8.796675708
"72","GID9535542",754486,5.498,3.081548802,8.471098949
"73","GID9535543",754486,5.264,3.281270274,8.159949743
"74","GID9535544",754486,5.925,3.853638367,8.685224203
"75","GID9535545",754486,5.132,3.078572071,7.511334144
"76","GID9535547",754486,6.125,3.652039705,8.618583206
"77","GID9535729",754703,6.072,2.494425591,7.051154543
"78","GID9535731",754703,5.836,4.60200191,7.808057022
"79","GID9535732",754703,6.477,4.558601776,8.552494152
"80","GID9535733",754703,6.071,4.402653925,7.981109116
"81","GID9535734",754703,5.995,3.990170443,8.911981001
"82","GID9535739",754712,5.638,3.928223904,8.518890033
"83","GID9535742",754712,5.899,3.807236214,8.503703909
"84","GID9535748",754712,6.019,4.083612194,8.039070576
"85","GID9536857",754443,5.163,4.178592373,9.831421783
"86","GID9536858",754443,5.694,4.276666506,8.708712418
"87","GID9536859",754443,5.834,3.705433536,8.079805931
"88","GID9536860",754443,5.637,4.011577209,9.01187217
"89","GID9536861",754443,5.11,3.799230239,8.199275815
"90","GID9536902",754486,6.031,3.797717702,9.367179979
"91","GID9536904",754486,6.004,4.507150827,8.914081866
"92","GID9536905",754486,5.513,4.305627896,8.420699587
"93","GID9536906",754486,5.494,4.156316227,9.330399513
"94","GID9536907",754486,5.935,4.266877954,9.188864091
"95","GID9538023",754486,5.759,4.241807989,7.789742818
"96","GID9538024",754486,5.233,4.364496149,8.169823774
"97","GID9538029",754486,5.425,3.844599647,8.64947665
"98","GID9538218",754703,5.661,4.095096346,8.534356781
"99","GID9538219",754703,5.412,3.784198482,7.948384895
"100","GID9538220",754703,5.649,3.953374822,7.716411631
"101","GID9538221",754703,5.35,4.244517462,8.130211391
"102","GID9538222",754703,5.687,4.400582818,8.839304028
"103","GID9538223",754703,6.178,4.111586354,9.470704436
"104","GID9538225",754703,5.674,4.25886275,7.762556144
"105","GID9538229",754712,5.861,3.87579012,7.742530132
"106","GID9538230",754712,5.523,4.235572946,8.031486679
"107","GID9538232",754712,5.993,3.931861261,8.675030286
