Line,HTLC,BA,BD,BLC,CWAC,CWAL,DBH,HT,rootnum,rootnumbin,gall,rustbin,c5c6,density,lateWood.4,lignin,stiffnessTree
1087120,-1.385,-4.316,0.003221,0.02618,33.71,26.6,1.238,61.4,0.02328,0.07171,0.6529,0.2491,0.8625,0.04028,-0.04476,-0.3356,-0.09198
1085618,-1.332,4.78,-0.0277,-0.2249,-9.249,4.727,0.0527,-19.38,0.2916,0.0841,0.06131,0.09223,0.3139,1.156,0.5817,-0.007789,-0.1343
1091040,-10.56,5.504,0.0351,0.1397,35.8,12.21,1.835,111.5,-0.04823,-0.00651,0.1902,0.06901,-1.174,-0.2912,0.1465,0.06981,0.5755
1091686,-15.98,-1.139,-0.04564,-0.2891,11.29,-1.877,0.7835,64.23,0.1475,0.04941,-0.4806,-0.126,0.4417,0.5656,0.5625,-0.03886,0.6781
1082624,0.4758,-1.757,-0.002263,0.04154,-5.85,-3.468,-0.02664,-23.17,0.0088,0.02054,0.06656,-0.09962,-0.8505,-0.8569,-0.1929,0.1053,-0.3338
1088628,-0.4236,2.958,0.07954,-0.1572,11.21,5.898,0.0856,-0.5639,-0.01135,0.005377,0.021864132,0.000104009,-0.4178,0.5535,0.4684,0.2463,0.7972
1088644,0.06676,5.374,-0.06662,0.04144,-1.247,-2.748,-0.4507,4.793,0.002272,-0.03304,0.08252,0.02667,-0.9154,0.7618,0.5932,0.4367,0.6538
1084648,-8.136,0.09775,-0.1189,0.01383,-20.76,-16.03,-0.554,-17,-0.1219,-0.05493,0.06773,0.04056,0.9493,0.968,0.3558,-0.3015,-0.01885
1083276,17.79,3.085,-0.06049,0.3122,-2.616,-7.261,-0.9469,-47.97,0.1228,0.01331,0.06452,0.1372,0.1114,0.4579,0.0198,0.03792,0.3893
1084112,2.592,4.975,0.08847,0.4281,20.64,28.19,0.8162,24.9,-0.2578,-0.09235,0.021864132,0.000104009,1.165,-0.03313,0.133,-0.3873,0.06787
1094004,-11.26,-3.261,-0.04256,0.1095,8.624,3.323,0.5574,54.45,0.2014,0.0937,-0.4177,-0.1545,-0.2168,-0.5855,-0.4986,0.07369,0.1639
1084022,14.23,6.995,0.08829,0.4651,-3.134,-5.097,0.2203,6.435,0.2171,0.04824,0.4368,0.2605,0.1468,0.06842,0.3053,-0.1225,0.5761
1085330,-18.4,-2.529,0.1988,-0.3248,28.26,17.77,2.352,87.08,-0.1517,-0.07455,0.021864132,0.000104009,0.1269,-0.4864,-1.067,-0.05369,-0.5285
1088676,-4.361,4.544,-0.06727,0.284,-6.623,-11.24,-1.005,-72.16,0.04024,0.05718,-0.05158,-0.03318,-0.4596,0.6643,0.7375,0.3925,0.9384
1088606,-7.821,4.085,-0.04413,0.1757,-8.616,-4.623,-0.8539,6.238,-0.01785,-0.04025,0.021864132,0.000104009,-0.353,0.8761,0.9779,0.2898,0.9127
1080862,-12.83,-0.8594,-0.003932,-0.7685,30.8,3.961,0.2674,-1.675,0.1341,0.08422,-0.2129,-0.03573,-0.003505,0.3648,-0.1812,-0.006231,-0.8224
1090712,23.09,4.832,0.1325,0.3359,7.382,13.29,0.809,35.33,0.3199,0.1043,-0.6896,-0.3385,0.6254,-0.2349,-0.9516,-0.2311,-0.3147
1090718,23.19,-0.4315,0.007515,0.4176,0.04244,6.746,1.361,73.79,0.4602,0.1363,-0.6888,-0.3384,-0.3907,-0.4641,-0.5594,0.1718,-0.4311
1089706,4.758,-4.064,0.184,-0.2947,42.21,29.1,2.376,114.8,-0.04861,0.02946,0.4501,0.081,-1.224,-0.1072,-0.3719,0.3398,-0.5353
1093734,2.476,0.3196,-0.05511,-0.1798,36.67,22.11,0.7136,25.18,0.1385,0.1442,0.01198,0.07007,0.263,-0.1607,0.03666,0.01035,-0.06201
1087716,3.483916852,-0.320009865,-0.00460535,0.092340549,2.409441672,2.53120878,0.307473028,20.74006738,0.2826,0.1637,-0.2592,-0.117,-0.4848,-0.834,-0.1933,0.3638,-0.06146
1088416,17.53,-1.551,-0.0739,0.2105,36.06,5.059,0.4295,16.95,0.2374,0.07972,-0.03509,0.1061,-0.08981,-0.5427,0.01563,0.413,0.4006
1088384,-3.578,-5.71,-0.01323,-0.09656,21.02,13.88,-0.4095,-2.375,0.2385,0.1111,-0.0538,0.09796,0.9588,-0.08312,0.3865,-0.286,0.4245
1088608,7.336,6.549,-0.014,0.1245,-9.862,-6.182,-0.7301,-23.35,-0.01309,-0.01918,-0.05175,-0.03413,-0.8967,0.6077,0.6262,0.3394,1.261
294054,-1.523,-0.6217,-0.01249,0.06932,21.63,5.929,-0.01135,-16.37,0.03647,0.01323,-0.4083,-0.1538,-0.5193,-0.5889,-0.1474,0.1991,0.04825
1082458,7.807,5.036,0.1683,0.369,29.07,23.53,1.377,60.38,0.4796,0.1519,0.1031,0.001125,-0.4095,-0.1468,0.04839,-0.2345,0.3125
1093220,4.717,5.271,-0.04099,0.04766,-14.73,-4.955,-0.0931,5.662,0.2378,0.05479,-0.2569,-0.08443,-0.5773,0.02919,0.2262,0.2483,-0.02186
1085674,-6.852,7.067,-0.06852,0.2142,-43.41,-15.15,-1.308,3.262,0.2158,0.1035,0.021864132,0.000104009,1.006,1.095,1.007,-0.2452,0.4061
1092304,5.475,-2.25,-0.06003,0.2442,23.07,16.04,1.193,66.49,0.1981,0.1224,0.1061,0.0123,0.3724,0.7765,0.8162,-0.3539,-1.274
1093272,-6.069,4.712,-0.02015,-0.1838,5.989,-0.1532,0.2952,46.98,0.0462,-0.001057,-0.2619,-0.08186,-0.05082,0.5312,0.6756,0.1327,0.2561
1080958,-23.57,4.132,0.01542,-0.2852,-6.371,-17.35,-1.129,-52.84,0.1146,0.05554,-0.05891,0.04991,-0.028015713,0.068201646,0.086215615,0.044589028,0.064736937
1088278,-14.42,-6.34,-0.0136,-0.4867,48.22,22.65,0.6285,15.33,0.03674,0.06811,-0.1782,-0.1159,1.099,0.1973,0.4622,-0.303,0.7191
1090816,-3.422,7.668,0.04498,-0.008215,-26.69,-16.73,-0.8266,-0.6162,-0.1348,0.01381,0.8217,0.3438,0.3553,0.1219,0.0274,-0.1615,0.4789
