"","Line","Env","PH","FLW","Lg","Exs","CulmL","PnN","PedL","PnL","Flg.LL","Flg.LW","Flg.LA","SPn","FGP","GrL","GrW","LBR","X1000GW","YPP","YLD"
"4","A1257","2012DSRYT",111.7,85.4,1.1,1.2,"86.2",12,4.1,25.2,29.9,1.3,24.5,92,1038.3,10,2.2,4.5,24.1,25.5,4279
"5","A1258","2012DSRYT",112.8,80.2,1.1,1.3,"89",12.8,4.8,23.5,30.7,1.3,26,78.6,1001,10,2.4,4.2,26,25.7,5721
"6","A1302","2012DSRYT",105.7,89.7,1.1,1.3,"83",11.8,3.5,22.8,31.8,1.2,25.8,80.1,904.8,9.3,2.2,4.3,21.1,20.9,4685
"8","A1261","2012DSRYT",98,89.3,1.1,1.2,"77.6",12.6,4.7,21.2,28.2,0.9,18.8,71.3,908.5,9.5,2.3,4.1,22.8,21.7,5235
"9","A1262","2012DSRYT",90.5,85.4,1.1,1.2,"70.3",13.1,3.2,21.4,31.4,1.1,23.3,75.9,1013,9.4,2.3,4.1,25.1,26.1,5943
"11","B1053","2012DSRYT",103.9,84,1.1,1.2,"79",13.3,2.9,25.1,29.6,1.1,22.4,74.3,1024.8,10.4,2.3,4.7,26,26,5709
"12","A1260","2012DSRYT",109.2,85.4,1.1,1.2,"85.2",13.6,4.7,23.9,31.5,1,22.2,73.8,1032.9,9.7,2.3,4.1,25.3,26.1,5948
"17","A1304","2012DSRYT",113.6,86.9,1.1,1.2,"88.1",13.4,3.5,25,34.2,0.9,22.7,70.4,972.4,10.1,2.3,4.5,25.6,24.5,5121
"20","A1263","2012DSRYT",96.2,81.6,1.1,1.3,"72.7",12.1,2.4,24.2,31.1,1.2,24.9,71.9,875.2,9.5,2.4,3.9,28.3,23.2,5601
"23","B1201","2012DSRYT",108.5,94.5,1.1,1.2,"85.9",11.7,2.5,22.5,26.9,1.3,22.6,77.6,880.8,9.1,2.3,3.9,22.1,20.5,3671
"24","B1202","2012DSRYT",101.7,91.6,1.1,1.2,"78.5",13.8,2.6,23.6,30,1.2,23.5,67.2,967.5,9.6,2.3,4.3,26.1,24.9,6341
"25","B1203","2012DSRYT",108.3,87.8,1.1,1.2,"84",12.6,2.1,24.1,30.7,1.1,23.4,73.1,929.1,9.3,2.3,4,26.3,24,5231
"26","B1204","2012DSRYT",112.7,94,1.1,1.2,"90.1",13.5,2.5,22.3,25.8,1.2,20.3,79.5,1084.2,9.5,2.3,4.2,22.3,25,4578
"27","B1102","2012DSRYT",111.4,84,1.1,1.2,"89.1",12.8,5.5,22.1,29.4,1.2,22.8,79.2,1017.1,9.3,2.3,4,23.6,24.3,4923
"28","B1054","2012DSRYT",106.1,77.8,1.1,1.2,"84.5",12.2,2.5,21.7,27.2,1.1,21.1,80.3,946.2,9.8,2.4,4.1,25.5,24.1,5920
"29","B1205","2012DSRYT",110.4,92.1,1.1,1.2,"84.9",12.5,3.2,25.2,31.8,1.2,24.4,80.3,985.4,9.5,2.3,4.1,24.1,24,6221
"30","B1151","2012DSRYT",114.2,89.3,1.1,1.2,"100",12.6,3,24.2,28.5,1.1,21.5,83.2,1008.8,9.5,2.3,4.1,24.5,24.9,5396
"31","B1206","2012DSRYT",109.5,86.4,1.1,1.2,"83.8",12.1,3.9,25.4,31.8,1.1,23.7,78.2,925.7,9.8,2.3,4.2,25.1,23,6016
"32","B1152","2012DSRYT",108.7,84,1.1,1.2,"84.5",13.7,2.6,24.1,32.1,1,23,67.7,950.9,9.2,2.3,4,24.5,23.5,5318
"33","B1207","2012DSRYT",109.4,90.7,1.1,1.2,"84.3",12.8,3.9,24.8,30.2,1.2,24.4,78.5,1005.5,9.7,2.3,4.2,24.6,25.1,5620
"34","B1208","2012DSRYT",102.9,86.4,1.7,1.2,"80.3",13,2.9,22.9,30,1.1,22,73,964.6,9.3,2.3,4.1,23.5,23.2,4784
"35","A1307","2012DSRYT",105.7,85.9,1.1,1.3,"82.6",12.4,3.8,23.2,31.2,1.3,25.7,82.7,1003.9,9.2,2.3,4.1,23,24.1,5094
"37","A1309","2012DSRYT",109.3,86.9,1.1,1.3,"85.5",11.8,3.5,23.6,29.8,1.3,25.1,84.9,955.2,9.3,2.3,4,23.3,23.3,5794
"38","A1310","2012DSRYT",106.5,88.3,1.1,1.2,"82.8",12.6,3.4,23.8,30.8,1.4,27.3,87.2,1092.2,9.1,2.3,4,22.8,25.7,6017
"39","A1313","2012DSRYT",100,86.9,1.1,1.2,"76.4",13.5,3.4,24,30.8,1.2,24.3,71.8,996.1,9.4,2.2,4.3,20.8,23.7,4577
"40","A1314","2012DSRYT",107.6,85.4,1.1,1.3,"82.9",12.2,2,24.6,28.9,1.3,24.9,75.3,907.4,9.9,2.3,4.4,26.6,23.3,4260
"41","A1311","2012DSRYT",99.1,75.9,1.1,1.2,"77.7",12.1,2.8,22,29.5,1.3,24.6,86.1,999.2,9.4,2.3,4.1,22.4,23.2,4547
"42","A1312","2012DSRYT",110.5,85.9,3.2,1.3,"86.5",12.6,4.1,23.7,33.2,1.1,25,70.9,901.6,9.3,2.2,4.3,23.2,21.4,5617
"44","B1209","2012DSRYT",102.9,87.8,2.2,1.2,"79.8",12.7,2.2,23.4,29.3,1.1,22.6,80.5,1011.4,9.4,2.3,4.1,21.9,23.6,5009
"45","B1210","2012DSRYT",103.1,87.4,1.1,1.2,"80.8",13.1,2.6,22.6,29.8,1.1,21.8,76.6,1018.7,9.2,2.3,4,24.4,25,4823
"46","B1103","2012DSRYT",108,77.4,1.1,1.2,"84.1",12.8,3.7,23.9,31.8,1.2,25.5,90,1127.3,9.3,2.3,4,23.3,27.8,4888
"47","B1153","2012DSRYT",109.3,86.4,1.1,1.2,"87.2",13,3.3,22,27.6,1.1,20.2,79.1,1029.4,9.3,2.2,4.4,23.4,24.4,4738
"48","B1005","2012DSRYT",94.4,81.2,1.1,1.2,"73.5",13,1.8,21.8,22.8,1,16.4,70,934.1,9.1,2.3,3.9,22.8,22.1,5607
"49","B1104","2012DSRYT",108.2,79.3,1.1,1.2,"83.9",12.5,3.1,24.3,32.4,1.1,24.8,88.3,1069.3,10,2.4,4,29.7,28,5977
"50","B1105","2012DSRYT",104.6,80.2,1.1,1.2,"82.5",12.2,2.2,22.4,30.4,1.3,24.8,84,975.5,9.5,2.3,4.1,23.8,24.3,5451
"51","B1055","2012DSRYT",104.2,82.6,1.1,1.2,"81",13.6,2.4,23.4,30.1,1,21.5,68.1,958.1,10,2.3,4.4,25.1,24.5,5100
"52","B1106","2012DSRYT",99.1,80.7,1.1,1.2,"75.3",12,4.5,24.3,30.3,1,21.9,76.8,897.1,10.4,2.3,4.6,23.8,21.5,5293
"54","B1107","2012DSRYT",108.4,85.4,1.1,1.2,"82.9",12.5,3.1,25.4,29.6,1.2,23.2,94.2,1113.7,10.4,2.2,4.9,25.1,28.3,4891
"55","B1056","2012DSRYT",105,77.4,1.1,1.2,"82.2",13.1,3.3,22.9,28.2,1.1,21.6,75.7,1006,9.9,2.2,4.5,22.8,24.2,5089
"56","B1108","2012DSRYT",99.9,83.5,1.1,1.2,"77.8",12.7,3,22.7,27.1,1.1,21,70.7,910.1,9.5,2.3,4.2,24.9,22.7,5440
