"","Line","Env","y.pheno"
"1","M1463",1,3451.66666666667
"2","A1257",1,3457.33333333333
"3","A1258",1,3911
"4","A1302",1,3913.66666666667
"5","M1464",1,3561
"6","A1261",1,4085
"7","A1262",1,4449.33333333333
"8","M1467",1,3429
"9","B1053",1,3761.33333333333
"10","A1260",1,3611.66666666667
"11","M1465",1,3195.33333333333
"12","M1469",1,3485.33333333333
"13","A1304",1,4162.33333333333
"14","M1471",1,3415.33333333333
"15","A1263",1,3872.66666666667
"16","B1201",1,3858.66666666667
"17","B1202",1,3769
"18","B1203",1,3688
"19","B1102",1,3789.66666666667
"20","B1205",1,3625.33333333333
"21","B1151",1,3678.66666666667
"22","B1206",1,3589.33333333333
"23","B1152",1,3566.33333333333
"24","B1207",1,3501
"25","B1208",1,3766.66666666667
"26","A1307",1,3955.66666666667
"27","A1309",1,3821.66666666667
"28","A1310",1,3826
"29","A1313",1,3705.33333333333
"30","A1314",1,3633.66666666667
"31","A1311",1,3748
"32","A1312",1,3824.66666666667
"33","M1345",1,3346.33333333333
"34","M1351",1,3586.33333333333
"35","M1353",1,3580.66666666667
"36","M1354",1,3545
"37","M1356",1,3854.66666666667
"38","M1357",1,3498
"39","M1358",1,3476
"40","M1359",1,3393.33333333333
"41","M1360",1,3484.33333333333
"42","M1361",1,3684.66666666667
"43","B1209",1,3469
"44","B1210",1,3455.33333333333
"45","B1103",1,3728
"46","B1153",1,3790.33333333333
"47","B1005",1,3829.33333333333
"48","B1104",1,3667
"49","B1105",1,3729.33333333333
"50","B1055",1,3781.33333333333
"51","B1106",1,3807
"52","B1107",1,3446.33333333333
"53","B1211",1,3564.33333333333
"54","A1264",1,3700.33333333333
"55","A1265",1,3565.66666666667
"56","A1316",1,3826.66666666667
"57","A1269",1,3767
"58","A1273",1,3866.66666666667
"59","A1274",1,4029
"60","A1275",1,3743.33333333333
"61","A1276",1,3750.66666666667
"62","A1279",1,3714.33333333333
"63","M1367",1,3344
"64","B1155",1,3459
"65","B1057",1,3716.66666666667
"66","B1157",1,3650.33333333333
"67","B1011",1,3869.66666666667
"68","A1267",1,3408
"69","A1272",1,3919.33333333333
"70","A1270",1,3720
"71","A1277",1,3715.66666666667
"72","A1321",1,3484.66666666667
"73","A1317",1,3789.66666666667
"74","A1318",1,3566.33333333333
"75","A1319",1,3638
"76","A1320",1,3344.66666666667
"77","A1268",1,3435
"78","M1362",1,3427.33333333333
"79","M1363",1,3555
"80","M1347",1,3274.33333333333
"81","M1364",1,3435.33333333333
"82","M1365",1,3622.66666666667
"83","M1368",1,3618.66666666667
"84","M1366",1,3461.33333333333
"85","B1216",1,3292
"86","B1007",1,4259.66666666667
"87","B1008",1,3924
"88","B1009",1,4189.66666666667
"89","B1158",1,4039.33333333333
"90","B1159",1,3696
"91","B1160",1,3797
"92","B1110",1,3876.66666666667
"93","B1111",1,3476
"94","B1161",1,3537
"95","B1062",1,3991.66666666667
"96","B1010",1,3960.33333333333
"97","B1217",1,3469
"98","B1218",1,3675.66666666667
"99","B1219",1,4006
"100","B1220",1,3598
"101","B1058",1,3614
"102","B1060",1,3756
"103","B1061",1,3583.33333333333
"104","B1012",1,3703
"105","B1019",1,3510.33333333333
"106","B1075",1,3869.33333333333
"107","A1259",1,3836
"108","M1463",2,2225.66666666667
"109","A1257",2,2358.33333333333
"110","A1258",2,2903.5
"111","A1302",2,2409.16666666667
"112","M1464",2,2250.66666666667
"113","A1261",2,2687.66666666667
"114","A1262",2,2358.83333333333
"115","M1467",2,2054.16666666667
"116","B1053",2,3031.83333333333
"117","A1260",2,2169.66666666667
"118","M1465",2,1965.66666666667
"119","M1469",2,2275
"120","A1304",2,2274.16666666667
"121","M1471",2,2322.5
"122","A1263",2,2500.66666666667
"123","B1201",2,2827.33333333333
"124","B1202",2,1782.83333333333
"125","B1203",2,2176.83333333333
"126","B1102",2,2465.83333333333
"127","B1205",2,2561.33333333333
"128","B1151",2,2326.66666666667
"129","B1206",2,2720
"130","B1152",2,1979.66666666667
"131","B1207",2,2741.66666666667
"132","B1208",2,2684.5
"133","A1307",2,1978.83333333333
"134","A1309",2,2317.33333333333
"135","A1310",2,2436.16666666667
"136","A1313",2,3014
"137","A1314",2,1781.16666666667
"138","A1311",2,2427.16666666667
"139","A1312",2,2289.5
"140","M1345",2,2630.66666666667
"141","M1351",2,1964.5
"142","M1353",2,1793.5
"143","M1354",2,1847.83333333333
"144","M1356",2,1914.33333333333
"145","M1357",2,1786.66666666667
"146","M1358",2,1745.5
"147","M1359",2,1411.5
"148","M1360",2,1586
"149","M1361",2,1967.33333333333
"150","B1209",2,1810.33333333333
"151","B1210",2,2313.5
"152","B1103",2,2509.16666666667
"153","B1153",2,2530.5
"154","B1005",2,1634
"155","B1104",2,3090.16666666667
"156","B1105",2,2204.33333333333
"157","B1055",2,2704.66666666667
"158","B1106",2,2081.5
"159","B1107",2,2336.16666666667
"160","B1211",2,2588.33333333333
"161","A1264",2,2466.33333333333
"162","A1265",2,2538.5
"163","A1316",2,2567.16666666667
"164","A1269",2,2730.5
"165","A1273",2,2529.5
"166","A1274",2,2579.16666666667
"167","A1275",2,2842.16666666667
"168","A1276",2,2618.83333333333
"169","A1279",2,2982.5
"170","M1367",2,2783.33333333333
"171","B1155",2,2030.5
"172","B1057",2,2179.66666666667
"173","B1157",2,2398.66666666667
"174","B1011",2,2145.33333333333
"175","A1267",2,2377
"176","A1272",2,2756.16666666667
"177","A1270",2,2944.83333333333
"178","A1277",2,2349.16666666667
"179","A1321",2,2197.16666666667
"180","A1317",2,2250.16666666667
"181","A1318",2,2178.66666666667
"182","A1319",2,2024.83333333333
"183","A1320",2,2813.16666666667
"184","A1268",2,2985.83333333333
"185","M1362",2,2034.33333333333
"186","M1363",2,1994.33333333333
"187","M1347",2,1907.83333333333
"188","M1364",2,2165.16666666667
"189","M1365",2,2516.83333333333
"190","M1368",2,2167
"191","M1366",2,2517
"192","B1216",2,2369.5
"193","B1007",2,2759.5
"194","B1008",2,2194.16666666667
"195","B1009",2,1965.33333333333
"196","B1158",2,2237.5
"197","B1159",2,1833.33333333333
"198","B1160",2,2043.33333333333
"199","B1110",2,1879.83333333333
"200","B1111",2,2360.66666666667
"201","B1161",2,2322.66666666667
"202","B1062",2,2740
"203","B1010",2,2189
"204","B1217",2,2343.66666666667
"205","B1218",2,2308.83333333333
"206","B1219",2,2455.5
"207","B1220",2,2320.83333333333
"208","B1058",2,3039
"209","B1060",2,2060.83333333333
"210","B1061",2,1802.5
"211","B1012",2,2227.66666666667
"212","B1019",2,2182.83333333333
"213","B1075",2,2080.5
"214","A1259",2,2420.5
"215","M1463",3,3546.66666666667
"216","A1257",3,3934
"217","A1258",3,3730.33333333333
"218","A1302",3,4070
"219","M1464",3,3947.66666666667
"220","A1261",3,3898
"221","A1262",3,4033.33333333333
"222","M1467",3,3526
"223","B1053",3,3926
"224","A1260",3,3884.33333333333
"225","M1465",3,3428
"226","M1469",3,3358
"227","A1304",3,4359.33333333333
"228","M1471",3,3871.66666666667
"229","A1263",3,3767.33333333333
"230","B1201",3,4190
"231","B1202",3,3670.66666666667
"232","B1203",3,4359
"233","B1102",3,3788.33333333333
"234","B1205",3,3722.66666666667
"235","B1151",3,4059.66666666667
"236","B1206",3,3897
"237","B1152",3,4095
"238","B1207",3,4118
"239","B1208",3,3703.33333333333
"240","A1307",3,4251
"241","A1309",3,4027.66666666667
"242","A1310",3,4341.66666666667
"243","A1313",3,3832.33333333333
"244","A1314",3,3983
"245","A1311",3,4062
"246","A1312",3,4216.66666666667
"247","M1345",3,3683.33333333333
"248","M1351",3,3651
"249","M1353",3,3931.33333333333
"250","M1354",3,4309
"251","M1356",3,4129.66666666667
"252","M1357",3,3891
"253","M1358",3,4036.66666666667
"254","M1359",3,3783.66666666667
"255","M1360",3,4118.66666666667
"256","M1361",3,3893.33333333333
"257","B1209",3,3945.66666666667
"258","B1210",3,3968.33333333333
"259","B1103",3,4300
"260","B1153",3,4168
"261","B1005",3,4156.66666666667
"262","B1104",3,4274.66666666667
"263","B1105",3,3701.33333333333
"264","B1055",3,4181
"265","B1106",3,4031
"266","B1107",3,3727.66666666667
"267","B1211",3,4170.66666666667
"268","A1264",3,4060.33333333333
"269","A1265",3,3804
"270","A1316",3,4252.66666666667
"271","A1269",3,3808.66666666667
"272","A1273",3,3630.33333333333
"273","A1274",3,4307
"274","A1275",3,4228.66666666667
"275","A1276",3,3813.66666666667
"276","A1279",3,4131.66666666667
"277","M1367",3,3641.33333333333
"278","B1155",3,4088.33333333333
"279","B1057",3,4132
"280","B1157",3,4102.33333333333
"281","B1011",3,3950
"282","A1267",3,4128.33333333333
"283","A1272",3,3930
"284","A1270",3,3917.33333333333
"285","A1277",3,4157.33333333333
"286","A1321",3,3728.66666666667
