Genotype,blups,deregressed.blups,Adj.Grain.Yield
AYT-O-0002,68.82944474,112.5790051,5256.254684
AYT-O-0003,-492.8692461,-798.3792384,4345.29644
AYT-O-0004,67.60725488,109.5875817,5253.26326
AYT-O-0005,-240.3874111,-389.6943906,4753.981288
AYT-O-0006,445.9427544,715.8269425,5859.502621
AYT-O-0007,-347.3927096,-544.0468195,4599.628859
AYT-O-0008,-46.52191675,-73.04832405,5070.627354
AYT-O-0009,-351.1300125,-569.185473,4574.490206
AYT-O-0010,-116.7261291,-176.1560608,4967.519618
AYT-O-0011,-301.295231,-488.5408748,4655.134804
AYT-O-0012,-235.3450091,-381.224015,4762.451663
AYT-O-0013,-847.2882424,-1419.275537,3724.400141
AYT-O-0014,-61.69607164,-96.84053457,5046.835144
AYT-O-0015,-293.7970308,-471.9844101,4671.691268
AYT-O-0016,198.4710388,321.1422825,5464.817961
AYT-O-0017,-877.8792442,-1405.7369,3737.938779
AYT-O-0018,-83.36459181,-135.4431289,5008.23255
AYT-O-0019,-420.6273146,-660.2283214,4483.447357
AYT-O-0020,-22.42283991,-37.88890144,5105.786777
AYT-O-0021,197.3062935,316.706002,5460.381681
AYT-O-0022,45.48638493,76.19491299,5219.870592
AYT-O-0023,26.04918771,42.01297398,5185.688653
AYT-O-0024,-430.8935773,-650.2999295,4493.375749
AYT-O-0025,-601.3979947,-907.6471268,4236.028552
AYT-O-0026,-197.379491,-319.7359171,4823.939761
AYT-O-0027,81.05311298,135.9319573,5279.607636
AYT-O-0028,253.6840991,425.4262874,5569.101966
AYT-O-0029,446.203944,673.3981535,5817.073832
AYT-O-0030,-360.3481818,-578.8716887,4564.80399
AYT-O-0031,-101.896974,-154.9605539,4988.715125
AYT-O-0032,-146.9104295,-246.3296865,4897.345992
AYT-O-0033,-623.1493192,-1000.262658,4143.41302
AYT-O-0034,-525.6721569,-793.2961841,4350.379494
AYT-O-0035,108.2101227,190.4259166,5334.101595
AYT-O-0036,-227.4901722,-343.4155163,4800.260162
AYT-O-0037,-306.2205033,-496.739841,4646.935838
AYT-O-0038,39.65519709,62.17678929,5205.852468
AYT-O-0039,-280.9260931,-457.4498638,4686.225815
AYT-O-0040,-1053.789539,-1590.588338,3553.08734
AYT-O-0041,-567.0483673,-888.3691817,4255.306497
AYT-O-0042,-116.8231534,-190.3506665,4953.325012
AYT-O-0043,-439.4878826,-761.1235948,4382.552084
AYT-O-0044,-436.3133896,-713.7582053,4429.917473
AYT-O-0045,-543.5336227,-851.2740024,4292.401676
AYT-O-0046,145.1671192,234.9089499,5378.584628
AYT-O-0047,80.56964124,130.5147127,5274.190391
AYT-O-0048,243.8675863,391.4327041,5535.108383
AYT-O-0049,159.1810494,256.1653964,5399.841075
AYT-O-0050,-943.3237206,-1426.843667,3716.832012
AYT-O-0051,-212.0217603,-343.5759147,4800.099764
AYT-O-0052,17.40304392,27.94028167,5171.61596
AYT-O-0053,32.50909652,50.91407501,5194.589754
AYT-O-0054,-250.4587186,-405.7064504,4737.969228
AYT-O-0055,69.97472733,105.5814708,5249.257149
