Line,YR.glass,yield,height,YR.field,FUS,MIL,FT
WSNP92K.045.04226,2.679,7.547,80,2,3,3,37
WSNP92K.045.04227,1.275,6.77,92,5,2,1,26
WSNP92K.045.04228,2.815,8.006,80,3,3,4,30
WSNP92K.045.04229,1.567,8.082,82,2,2,1,29
WSNP92K.051.04801,3.019,7.831,68,6,4,3,31.43553459
WSNP92K.045.04230,2.583,7.491,78,3,4,5,31.43553459
WSNP92K.045.04231,2.838,4.688,73,3,5,8,38
WSNP92K.045.04232,2.822,7.411,42,4,7,3,24
WSNP92K.045.04233,2.805,8.477,78,2,4,5,23
WSNP92K.045.04234,2.59,7.872,71,3,2,3,27
WSNP92K.045.04235,2.814,8.316,70,3,3,1,29
WSNP92K.045.04236,3.01,6.805,77,4,2,1,41
WSNP92K.045.04237,3.01,7.706,75,4,5,1,27
WSNP92K.051.04802,2.511079137,5.439,73,2,5,5,33
WSNP92K.045.04238,2.283,7.817,88,2,3,4,31
WSNP92K.045.04239,1.587,7.115,81,4,3,1,29
WSNP92K.045.04240,2.275,7.15,68,3,3,4,31.43553459
WSNP92K.051.04803,2.886,7.481,82,4,5,5,30
WSNP92K.045.04241,2.456,8.74,85,4,7,1,20
WSNP92K.045.04242,2.983,4.707,80,4,4,1,31
WSNP92K.045.04243,2.79,5.89,105,4,5,1,32
WSNP92K.045.04244,2.694,8.351,67,6,5,3,19
WSNP92K.045.04245,2.584,7.06,70,1,4,1,32
WSNP92K.045.04246,2.901,6.173,69,3,5,3,36
WSNP92K.051.04804,3.176,6.397,59,5,3,7,31
WSNP92K.045.04247,2.911,6.869,78,4,4,7,30
WSNP92K.045.04248,2.698,7.829,74,5,5,5,34
WSNP92K.045.04249,2.584,8.812,86,5,4,6,31
WSNP92K.045.04250,2.798,7.136,67,5,4,6,31.43553459
WSNP92K.051.04805,2.695,7.363,78,4,2,1,29
WSNP92K.045.04251,2.953,7.393,83,5,5,3,31.43553459
WSNP92K.045.04252,2.807,6.706,73,4,5,2,30
WSNP92K.045.04253,2.159,6.887,70,4,4,1,27
WSNP92K.045.04254,2.698,7.677,80,3,5,1,30
WSNP92K.045.04255,2.903,7.402,80,5,5,3,31
WSNP92K.045.04256,2.906,6.318,47,4,6,3,33
WSNP92K.045.04257,2.818,6.5,73,5,7,5,31
WSNP92K.045.04258,2.981,6.669,84,6,5,4,30
WSNP92K.045.04259,2.694,7.381,84,5,4,2,37
WSNP92K.045.04260,2.695,5.163,90,4,5,1,29
WSNP92K.045.04261,2.679,7.698,82,3,5,1,33
WSNP92K.045.04262,2.901,7.737,76,3,5,1,34
WSNP92K.045.04263,2.511079137,7.753,60,3,5,1,29
WSNP92K.045.04264,2.321,5.938,90,4,3,1,21
WSNP92K.045.04266,2.695,5.776,98,2,3,3,35
WSNP92K.045.04267,2.798,6.693,61,4,6,1,31
WSNP92K.045.04268,2.59,6.247,59,2,3,1,33
WSNP92K.045.04269,1.568,5.493,68,3,4,1,32
WSNP92K.045.04270,2.906,4.782,97,3,4,1,28
WSNP92K.045.04271,2.153,8.676,93,2,2,1,28
WSNP92K.045.04272,2.721,7.99,71,4,4,1,23
WSNP92K.045.04273,2.775,7.261,84,3,3,1,35
WSNP92K.045.04274,2.159,6.872,77,4,3,3,30
WSNP92K.045.04275,2.144,8.051,79,3,4,1,28
WSNP92K.045.04276,1.024,8.154,80,1,2,1,31
WSNP92K.045.04277,2.786,7.524,75,2,3,3,34
WSNP92K.045.04278,3.115,8.34,79,2,2,2,36
WSNP92K.045.04279,3.031,7.963,66,3,2,3,35
WSNP92K.045.04280,2.902,8.607,98,4,2,5,36
WSNP92K.045.04281,2.812,7.517,85,3,2,2,39
WSNP92K.045.04282,2.604,8.321,84,3,3,1,35
WSNP92K.045.04283,3.055,7.429,83,5,3,1,36
WSNP92K.045.04284,2.511079137,7.952,93,3,2,4,30
WSNP92K.045.04285,2.511079137,7.211,97,3,2,2,33
WSNP92K.045.04286,3.157,7.468,95,3,3,1,28
WSNP92K.045.04287,3.149,8.979,99,5,3,3,31.43553459
WSNP92K.045.04288,2.159,9.65,78,3,3,1,31.43553459
WSNP92K.045.04289,2.778,7.941,86,2,2,2,34
WSNP92K.051.04806,2.575,8.776,78,4,3,1,19
WSNP92K.045.04290,1.763,6.57,82,3,4,1,31
WSNP92K.045.04291,2.795,8.171,70,3,5,1,15
WSNP92K.051.04807,2.897,7.476437677,71,5,3,1,25
WSNP92K.045.04292,2.891,7.956,66,4,4,1,29
WSNP92K.045.04293,2.78,8.632,75,4,6,1,39
WSNP92K.045.04294,3.091,7.799,75,3,4,2,27
WSNP92K.045.04295,2.981,9.277,79,3,2,3,29
WSNP92K.045.04296,2.566,7.754,88,2,4,1,35
WSNP92K.045.04297,0.178,8.626,71,2,3,3,22
WSNP92K.051.04808,1.566,6.354,71,1,5,3,38
WSNP92K.045.04298,2.511079137,6.832,82,2,2,1,28
WSNP92K.045.04299,2.15,7.807,86,2,4,2,38
WSNP92K.045.04300,2.566,7.748,80,3,4,5,34
WSNP92K.045.04301,2.793,8.352,70,4,5,1,31.43553459
