Hybrid_name,Year,GY_Optimal,PH_Optimal,AD_Optimal,GY_Drought,PH_Drought,AD_Drought
851810,2017,4.6117,222.98,62.8963,4.2721,189.46,60.1236
851811,2017,5.7125,232.8,61.8208,3.1784,201.07,62.1403
851812,2017,5.4637,228.5,63.3697,4.6726,209.02,61.6396
851813,2017,4.8458,231.22,60.4573,4.0518,216.67,59.8486
851814,2017,6.7956,227.76,63.2974,4.3129,203.31,60.8015
851815,2017,5.2572,216.19,62.4059,4.304,197.15,61.6752
851816,2017,6.1488,232.47,63.1119,4.7727,202.56,63.9223
851817,2017,5.2001,224.91,63.0872,2.8965,201.76,64.054
851818,2017,4.9099,227.73,61.0322,3.6693,204.79,58.3686
851819,2017,4.9554,231.24,61.9185,4.5357,210.08,61.5762
851820,2017,5.3987,231.15,61.6488,3.735,192.56,61.1352
851821,2017,5.2865,223.19,62.0805,3.985,204.36,60.7511
851822,2017,5.1537,223.29,61.4937,4.1183,202.67,59.0634
851823,2017,6.1635,223.65,62.7477,5.2801,200.51,62.1316
851824,2017,5.2804,227.23,61.6069,4.2046,207.13,58.6487
851825,2017,5.6113,243.25,61.8258,3.63,223.61,60.2511
851826,2017,4.901,213.21,63.0334,5.1947,185.16,60.4627
851827,2017,4.7794,228.79,59.9901,3.2247,204.21,59.4992
851828,2017,4.6446,223.57,61.256,3.6843,203.7,62.4611
851829,2017,5.3882,228.82,59.9837,3.8789,190.62,58.1646
851830,2017,5.2903,234.55,62.5757,4.5634,202.07,60.1403
851831,2017,6.0947,227.03,60.9991,3.853,200.16,62.428
851832,2017,5.4122,240.73,64.1481,3.7597,212.91,62.4627
851833,2017,5.5944,235.79,63.3219,4.1677,215.14,61.9256
851834,2017,6.5312,224.68,61.5776,3.6577,195.91,62.2247
851835,2017,6.7772,241.82,54.0687,4.9136,219.05,59.5064
851836,2017,4.8881,238.8,62.1584,3.7901,212.26,62.22
851837,2017,5.1022,220.54,61.9679,4.3983,188.7,62.4009
851838,2017,5.7088,225.14,62.0444,3.307,205.24,61.288
