"","Line","MOTHER","FATHER","PROGRAM","PHENOTYPE","Env","FAMILY","Mother_Father"
"1","12189","495","499","EG2",1.93533837,"10","343","495_499"
"2","12190","495","499","EG2",-0.5875539,"10","343","495_499"
"3","12191","495","499","EG2",0.10407758,"10","343","495_499"
"4","12192","495","499","EG2",0.95872541,"10","343","495_499"
"5","12261","495","499","EG2",0.34026622,"10","343","495_499"
"6","12262","495","499","EG2",0.12230819,"10","343","495_499"
"7","12263","495","499","EG2",-0.9541159,"10","343","495_499"
"8","12264","495","499","EG2",-0.3942538,"10","343","495_499"
"9","13030","495","499","EG2",-0.456356,"10","343","495_499"
"10","13031","495","499","EG2",0.48504857,"10","343","495_499"
"11","13032","495","499","EG2",0.88837383,"10","343","495_499"
"12","13341","495","499","EG2",-2.0656982,"10","343","495_499"
"13","13342","495","499","EG2",0.3311697,"10","343","495_499"
"14","13343","495","499","EG2",-0.9891536,"10","343","495_499"
"15","13344","495","499","EG2",1.50046017,"10","343","495_499"
"16","14066","495","499","EG2",-0.7956899,"10","343","495_499"
"17","14067","495","499","EG2",1.3243635,"10","343","495_499"
"18","14068","495","499","EG2",-0.8070899,"10","343","495_499"
"19","12413","495","540","EG2",1.41020112,"10","386","495_540"
"20","12414","495","540","EG2",-1.7139792,"10","386","495_540"
"21","12415","495","540","EG2",1.54721836,"10","386","495_540"
"22","12416","495","540","EG2",0.51149635,"10","386","495_540"
"23","12757","495","540","EG2",0.37884862,"10","386","495_540"
"24","12758","495","540","EG2",1.59341221,"10","386","495_540"
"25","12759","495","540","EG2",0.16805184,"10","386","495_540"
"26","12760","495","540","EG2",1.62407815,"10","386","495_540"
"27","13628","495","540","EG2",2.87230232,"10","386","495_540"
"28","13629","495","540","EG2",1.74839638,"10","386","495_540"
"29","13630","495","540","EG2",0.33613851,"10","386","495_540"
"30","13631","495","540","EG2",0.09168445,"10","386","495_540"
"31","13792","495","540","EG2",0.24345896,"10","386","495_540"
"32","13793","495","540","EG2",-1.0376468,"10","386","495_540"
"33","13794","495","540","EG2",1.74353792,"10","386","495_540"
"34","13795","495","540","EG2",1.0417334,"10","386","495_540"
"35","14014","495","540","EG2",0.42827849,"10","386","495_540"
"36","14015","495","540","EG2",2.43295444,"10","386","495_540"
"37","14016","495","540","EG2",0.29313691,"10","386","495_540"
"38","14017","495","540","EG2",0.86828139,"10","386","495_540"
"39","12482","519","523","EG2",0.83218102,"10","397","519_523"
"40","12483","519","523","EG2",-0.2966948,"10","397","519_523"
"41","12484","519","523","EG2",-0.7191428,"10","397","519_523"
"42","12485","519","523","EG2",-2.2490468,"10","397","519_523"
"43","13134","519","523","EG2",-0.8880592,"10","397","519_523"
"44","13135","519","523","EG2",-0.0273894,"10","397","519_523"
"45","13600","519","523","EG2",-1.022494,"10","397","519_523"
"46","13601","519","523","EG2",-1.5875675,"10","397","519_523"
"47","13602","519","523","EG2",-1.5431078,"10","397","519_523"
"48","13603","519","523","EG2",1.12079798,"10","397","519_523"
"49","13742","519","523","EG2",-1.2884591,"10","397","519_523"
"50","13743","519","523","EG2",-0.3806365,"10","397","519_523"
"51","13744","519","523","EG2",-0.37741,"10","397","519_523"
"52","13745","519","523","EG2",0.15144009,"10","397","519_523"
"53","13789","519","523","EG2",-1.0059596,"10","397","519_523"
"54","13790","519","523","EG2",-0.8880846,"10","397","519_523"
"55","13791","519","523","EG2",-1.3749198,"10","397","519_523"
"56","12552","519","542","EG2",-1.3289202,"10","365","519_542"
"57","12553","519","542","EG2",0.48581888,"10","365","519_542"
"58","12554","519","542","EG2",-1.0855049,"10","365","519_542"
"59","12670","519","542","EG2",-0.3764402,"10","365","519_542"
"60","12671","519","542","EG2",1.30173639,"10","365","519_542"
"61","12672","519","542","EG2",0.46242922,"10","365","519_542"
"62","12806","519","542","EG2",1.98837805,"10","365","519_542"
"63","12807","519","542","EG2",-0.9688924,"10","365","519_542"
"64","12808","519","542","EG2",0.70950239,"10","365","519_542"
"65","12809","519","542","EG2",3.50379209,"10","365","519_542"
"66","13636","519","542","EG2",-0.4989733,"10","365","519_542"
"67","13637","519","542","EG2",-1.6957077,"10","365","519_542"
"68","13638","519","542","EG2",-0.2804569,"10","365","519_542"
"69","13639","519","542","EG2",0.47559063,"10","365","519_542"
"70","14084","519","542","EG2",-0.196929,"10","365","519_542"
"71","14085","519","542","EG2",0.92216481,"10","365","519_542"
"72","14086","519","542","EG2",-0.5768227,"10","365","519_542"
"73","14087","519","542","EG2",-0.4165869,"10","365","519_542"
"74","12402","519","582","EG2",-2.4998976,"10","369","519_582"
"75","12403","519","582","EG2",0.6814441,"10","369","519_582"
"76","12404","519","582","EG2",0.79391492,"10","369","519_582"
"77","12516","519","582","EG2",-0.3462075,"10","369","519_582"
"78","12517","519","582","EG2",-0.3033583,"10","369","519_582"
"79","12518","519","582","EG2",-0.1926582,"10","369","519_582"
"80","12519","519","582","EG2",-0.7502441,"10","369","519_582"
"81","12739","519","582","EG2",-0.0301345,"10","369","519_582"
"82","12740","519","582","EG2",-1.0132538,"10","369","519_582"
"83","12741","519","582","EG2",-1.6624829,"10","369","519_582"
"84","12742","519","582","EG2",-0.3728513,"10","369","519_582"
"85","13249","519","582","EG2",-0.4093162,"10","369","519_582"
"86","13250","519","582","EG2",-1.2961178,"10","369","519_582"
"87","13251","519","582","EG2",-0.0473771,"10","369","519_582"
"88","13252","519","582","EG2",-0.5292894,"10","369","519_582"
"89","13824","519","582","EG2",-0.7743814,"10","369","519_582"
"90","13825","519","582","EG2",-0.093525,"10","369","519_582"
"91","13826","519","582","EG2",-0.1001361,"10","369","519_582"
"92","13827","519","582","EG2",-1.0265388,"10","369","519_582"
"93","12444","519","583","EG2",-0.4030967,"10","395","519_583"
"94","12445","519","583","EG2",1.25216647,"10","395","519_583"
"95","12446","519","583","EG2",0.41240356,"10","395","519_583"
"96","12447","519","583","EG2",-0.2725885,"10","395","519_583"
"97","12780","519","583","EG2",0.39328704,"10","395","519_583"
"98","12781","519","583","EG2",0.816464,"10","395","519_583"
"99","12782","519","583","EG2",-0.3374883,"10","395","519_583"
